ORF	WT	Opt	WTRNA
NCU05686	130.9	270	214.9
NCU05687	0	0	1.9
NCU05688	12.6	26.9	7.4
NCU05689	847.9	645.4	1761.2
NCU05691	2.2	2	3.1
NCU05692	13.7	17.9	3.7
NCU05693	52.4	90.4	26.6
NCU05694	1.1	8.2	1.1
NCU05695	2.8	2.6	1.6
NCU05697	3.8	4.8	1.3
NCU05698	0	0	0
NCU05699	0.1	0.1	2.2
NCU05700	2	3.6	2
NCU05703	0	0	0
NCU05704	0	0.4	0.4
NCU05705	0	0	0
NCU05706	87.8	82.4	31.9
NCU05707	0	0	0.6
NCU05708	0.5	0.7	2.8
NCU05710	0	0	0
NCU05711	0.2	0	0
NCU05712	70.6	608.1	60.9
NCU05713	0	0	0
NCU05714	78.8	60.1	249.7
NCU05715	73.6	81.2	9.7
NCU05716	84.5	155.4	18.5
NCU05717	103.2	78.5	119.1
NCU05718	8.1	13.1	1.1
NCU05720	38.3	46.9	63.7
NCU05721	37.6	18.8	5.1
NCU05722	0.1	0	0
NCU05723	54.2	55.9	9
NCU05726	16.1	9	3.1
NCU05728	0	0	0
NCU05730	0	0.5	0
NCU05731	61.8	53	39
NCU05732	0.4	1.5	1.3
NCU05733	7	5.5	8.4
NCU05735	1.5	0.2	0.7
NCU05742	0	0.5	0
NCU05749	0.6	0	1.5
NCU05750	12.4	15.1	8.5
NCU05751	0	0	1.5
NCU05752	136.6	54.2	103.7
NCU05753	14.1	10.4	89.6
NCU05754	0	0.1	0
NCU05755	1.1	3.6	1.6
NCU05756	0.1	11.9	2.4
NCU05757	15.7	29.7	11.4
NCU05758	0.4	0	0
NCU05759	0	0	0
NCU05760	0	0	0
NCU05761	0	0	0
NCU05762	0	0.1	0
NCU05763	0	1	2
NCU05764	0.1	0	0
NCU05766	0.4	0.2	0.4
NCU05767	0.2	0.2	0.2
NCU05768	6.2	1.7	2.9
NCU05769	0.2	0.5	0
NCU05770	158.4	43.2	17.8
NCU05771	16	14.6	3.2
NCU05772	164.7	108.4	159
NCU05773	0.1	0.1	0
NCU05774	0	0.1	0
NCU05775	21.2	32.9	13.3
NCU05776	180.9	103.5	28.2
NCU05777	80.8	77.8	21.9
NCU05778	178.3	104.4	67.2
NCU05779	0.1	0	0
NCU05780	84.1	9.4	179.2
NCU05781	23.3	19.7	52.5
NCU05782	31.8	42.6	25
NCU05783	6	10.8	17.5
NCU05784	3.9	4.9	2.6
NCU05785	74.8	52	13.5
NCU05786	137.4	214.9	111.9
NCU05787	0	0.3	0
NCU05788	2.7	4.9	11.9
NCU05789	16.8	93.6	28.9
NCU05790	0.3	0.1	0
NCU05791	75.7	75.2	9.8
NCU05794	0	0	0.8
NCU05795	0	0	0.6
NCU05796	76.4	37.6	8
NCU05797	54.6	42.5	7
NCU05798	3.1	17.2	5
NCU05800	233.7	219.7	71
NCU05801	4.8	2.2	11.5
NCU05802	30.4	26.1	3.3
NCU05803	87.6	49.3	20
NCU05804	1435.1	1185.2	2722
NCU05805	120.2	117.2	17.2
NCU05807	13.2	22.4	10.9
NCU05808	7.8	14.8	3.5
NCU05809	14.4	18.7	2.5
NCU05810	2126.7	827	443
NCU05811	0	0	0
NCU05812	0	0	0
NCU05813	76.3	66	23.5
NCU05814	4.2	24.7	16.9
NCU05816	1259.7	693.1	979
NCU05817	1.4	2.3	2.7
NCU05818	0.2	0.1	0
NCU05819	3.7	11.9	4.1
NCU05820	3.2	7	1.8
NCU05821	0.2	0	0
NCU05822	0.5	6.2	0.3
NCU05823	0	0.2	0
NCU05824	0	0	1
NCU05825	0	0.4	0
NCU05826	99.9	126.4	28.4
NCU05827	0	0	1.1
NCU05828	71.5	220.2	17.9
NCU05829	40.5	29.6	16.9
NCU05830	25.3	25.4	10.1
NCU05831	2.1	4.8	8.9
NCU05832	367.5	147.4	270.4
NCU05833	1.3	0.9	9.5
NCU05834	0.8	6.6	1.5
NCU05835	39.1	84.1	18.2
NCU05836	46.3	48.3	7.9
NCU05837	51.6	25.1	6.4
NCU05838	3.9	0.6	4.9
NCU05839	0	0	0.4
NCU05840	12.1	3.5	5.6
NCU05841	126	35.1	74.3
NCU05842	0.9	1.5	0.8
NCU05843	0	0.1	1
NCU05844	37	0.9	22.3
NCU05845	0	0	0
NCU05846	12.3	10.1	12.1
NCU05848	1.2	0.1	1.4
NCU05849	0.8	0.5	0.9
NCU05850	699.8	239.2	117.9
NCU05851	0.1	1.3	0.4
NCU05852	0	0	0
NCU05853	0.1	0	0
NCU05854	1.4	0.1	2.2
NCU05855	48.7	9.5	62.4
NCU05856	12.5	13	5.2
NCU05858	0	0.3	0.4
NCU05859	0.1	0.5	0.8
NCU05860	0	0	0
NCU05861	0.2	0	1.1
NCU05862	0	0.1	0
NCU05863	0.2	0.3	0
NCU05864	0.1	1.1	6.5
NCU05865	7.1	4.8	4.2
NCU05866	0	0.2	0
NCU05869	0	0	0
NCU05870	3.5	3.9	4.1
NCU05872	0	0	0.5
NCU05873	5.1	11	5.6
NCU05875	0	0	1.4
NCU05876	16	17	4.9
NCU05877	0	0.3	2
NCU05878	104.1	91	33.5
NCU05880	0	0.1	0.1
NCU05881	207.1	182.8	44.7
NCU05882	50.4	6.3	75.7
NCU05883	0.4	2.1	0.2
NCU05884	0	2	0.2
NCU05885	0.1	1.5	0.7
NCU05886	0.3	1.9	0.2
NCU05887	0.7	3.5	0.3
NCU05888	1.7	10.2	8.7
NCU05889	323.3	283.6	46
NCU05890	18.1	72.9	11.6
NCU05891	21.9	21.4	16.8
NCU05892	0	0.2	0
NCU05893	3.7	7.3	12.2
NCU05894	34.1	30.4	40.3
NCU05895	35.7	28.7	21.9
NCU05896	0	0	0
NCU05897	2.4	4.1	0.8
NCU05899	118.8	282.6	32.6
NCU05900	46.2	153.5	47.6
NCU05901	4	2.4	2.6
NCU05902	17.5	13.6	7.5
NCU05903	0.5	1.1	0.9
NCU05906	11.1	4.4	8.1
NCU05907	0	0	0
NCU05908	0.4	68.9	1
NCU05909	0	0.1	0
NCU05910	0	0	0
NCU05911	0	0	0
NCU05912	0	0	0
NCU05914	0.2	0	0
NCU05915	21.9	38.4	26.3
NCU05916	27.3	23.9	4.2
NCU05917	0.5	0.4	3.3
NCU05918	0.1	0	0
NCU05919	13.1	10.4	7.8
NCU05920	0.3	0	0.4
NCU05921	26	15.8	8
NCU05922	5.5	30.1	9.6
NCU05923	0	0	0
NCU05924	0	0	0
NCU05925	4.1	4.1	1.6
NCU05926	14.5	14.1	4.3
NCU05927	6.2	7.5	6.4
NCU05928	0	0.2	0
NCU05929	0.1	0.1	0.5
NCU05931	0	0	0.2
NCU05932	0	0.7	0
NCU05933	0.1	0.7	0.2
NCU05934	4.7	12.7	0.3
NCU05935	0	0	0
NCU05936	24.4	14.4	5
NCU05937	269.4	202.8	59
NCU05938	0	0.1	0
NCU05939	27.2	21.2	3.9
NCU05940	0.1	0	0
NCU05941	20.2	25.8	15.6
NCU05942	235.7	412.9	317.3
NCU05943	12.9	13.2	3.1
NCU05944	9.9	15.5	13.3
NCU05945	10.6	16.6	11.4
NCU05946	0.4	0	0
NCU05947	0	0	0
NCU05948	11.7	185.9	12.9
NCU05949	0.4	0	13.2
NCU05950	18	17.5	5.7
NCU05951	0.1	1.3	0.3
NCU05952	0	0	0
NCU05953	0.1	0.7	0
NCU05954	6.2	4.8	3.5
NCU05955	0.1	0	1.1
NCU05956	4.8	6.8	4.5
NCU05957	0.4	0.2	0
NCU05958	3.6	3.8	1.2
NCU05959	116.1	150.1	49.8
NCU05960	7.5	8.7	1.8
NCU05961	5.5	11.4	2.1
NCU05962	0	0	0
NCU05964	30.8	4	5.1
NCU05965	0.5	0.7	3.7
NCU05966	0.7	0.6	0.4
NCU05967	12.9	10.2	16.7
NCU05968	6.3	6.1	1.8
NCU05969	1	2.8	5.2
NCU05970	54.5	79	16.7
NCU05971	29.6	43.1	38.4
NCU05972	28.4	22.6	3.8
NCU05973	1.9	2.9	12.4
NCU05974	345.5	675.6	86.6
NCU05976	0	0	0
NCU05977	2.7	4.7	1
NCU05978	0.1	0.2	0
NCU05979	25.2	18.3	1.7
NCU05980	0	2.8	0
NCU05981	0	0	0
NCU05982	21.1	24.1	50.5
NCU05983	44.8	89.7	18.7
NCU05984	12.9	10.3	3.2
NCU05985	50.1	42.4	8.2
NCU05986	17.7	47.8	13.4
NCU05987	16.6	13.4	3.4
NCU05988	19.1	21.8	2.8
NCU05989	286.9	519	145.9
NCU05990	3.9	4.4	11.8
NCU05991	21	37.7	24
NCU05992	2.2	0.9	0.3
NCU05994	35.5	35.6	8.2
NCU05995	1282.7	1478.3	189.1
NCU05996	143.1	113.5	21.6
NCU05998	0	0	0.9
NCU05999	34.3	31.6	31.8
NCU06000	0	0.2	1.7
NCU06001	31.7	55.3	7.7
NCU06003	298.5	340.8	117.6
NCU06005	24.7	17.9	2.5
NCU06006	3.9	2.9	6
NCU06007	0.6	0.7	2.8
NCU06008	69.5	59.3	19.9
NCU06009	72.6	21.6	56.6
NCU06010	1.1	0.5	0.2
NCU06011	0.1	0	0
NCU06012	0.7	0.7	8.7
NCU06013	0.1	0.1	0.5
NCU06017	72.4	89.3	12.8
NCU06018	3.5	0.7	5.4
NCU06019	0.2	1.1	0.5
NCU06020	38.3	15.5	17.7
NCU06021	39.3	36	66.2
NCU06022	0	0	0
NCU06023	1.3	1	0
NCU06024	0.4	0.2	0
NCU06025	7.6	2.8	5.2
NCU06026	1	5.4	0.4
NCU06027	6.7	5.3	1.1
NCU06028	1.8	1.7	4.9
NCU06029	39.3	69.7	12.2
NCU06030	30.2	32.6	9.8
NCU06031	1195.5	557.6	979.3
NCU06032	22.6	27.9	12.6
NCU06033	43.4	23.8	19.6
NCU06034	26.8	143.6	8.2
NCU06035	1902.2	1765.6	4665.5
NCU06037	2.4	1.5	4.6
NCU06038	68.8	38.6	38
NCU06039	50.6	46.8	10.4
NCU06040	0.1	0.7	0
NCU06041	0.5	2.5	1.1
NCU06042	103.6	299	21.2
NCU06043	66.3	103.2	12.4
NCU06045	0	0.2	0
NCU06046	0	0	0
NCU06047	1483.2	1093	968.3
NCU06048	227.2	227.4	92.1
NCU06049	9.7	6.2	3.9
NCU06050	5.9	14.1	1.7
NCU06051	7.1	22.4	5.5
NCU06052	80.9	103.1	16.2
NCU06054	91.1	96.3	13.4
NCU06055	2.6	20.4	12.4
NCU06056	19.2	13.9	3.2
NCU06057	11.1	17.7	4
NCU06058	0.7	0	2.5
NCU06059	16.4	22	25.1
NCU06060	1.2	0.2	0
NCU06061	24	6.9	8.3
NCU06062	5.6	4.2	0.8
NCU06063	0.8	1.2	1
NCU06064	0	0	14.2
NCU06065	13.1	9.7	6.7
NCU06066	46.6	50.4	47.8
NCU06067	43.5	46	7.6
NCU06068	3.4	2.2	3.6
NCU06069	16.3	4.6	24.7
NCU06070	0	0	0
NCU06071	0	0	0
NCU06072	0.1	0.1	0
NCU06073	12	15.8	4.2
NCU06074	0	0.1	0.5
NCU06075	2210.5	3266.4	471.5
NCU06076	184.9	421.8	62.4
NCU06077	2	1.1	0.3
NCU06078	0.1	0	0
NCU06079	0.2	1.2	2.8
NCU06080	4.4	8.1	7.7
NCU06081	70.7	114.5	81.1
NCU06082	0	0	0
NCU06083	4.6	71.5	3.3
NCU06084	14.1	33.2	5.1
NCU06085	5.7	6.9	4.2
NCU06086	290.3	234	90.3
NCU06088	24.4	13.7	12.7
NCU06089	17.7	13.2	2.7
NCU06090	55.4	65.7	11.1
NCU06091	93.9	107.3	38.4
NCU06094	0	0	0
NCU06095	57.6	57.6	12.2
NCU06096	0.3	0	0
NCU06098	0.2	0.2	0
NCU06099	92.9	82.5	93.2
NCU06101	191.5	288.6	312.2
NCU06102	30	41.9	13.5
NCU06103	15.1	15.8	5.9
NCU06104	33.8	45.2	23.6
NCU06105	66.5	63.8	36.7
NCU06106	0	0	0.2
NCU06107	89.6	109.5	74.2
NCU06108	88.6	54	50.8
NCU06109	0.1	0	0.4
NCU06110	65019.6	38613.9	47082.4
NCU06111	38.4	49.4	15.3
NCU06112	62.7	48.4	24.1
NCU06113	35.7	51	31.7
NCU06114	7.7	7.3	97.3
NCU06116	6.7	12.6	22.3
NCU06117	27.4	78.2	6.3
NCU06118	19.8	18.9	4.4
NCU06119	0	0	14.9
NCU06120	30	75.9	19.1
NCU06121	0	0	0
NCU06122	73.8	64.7	8.6
NCU06123	85.5	69.8	9.4
NCU06124	0	0	0
NCU06125	43.6	36.2	6.9
NCU06126	0	0	0
NCU06127	0	0.2	0
NCU06128	1.7	4.7	1
NCU06129	1.4	1	1.8
NCU06130	40.1	40	14.3
NCU06131	52.9	17.9	38
NCU06132	327.4	68.2	96.9
NCU06133	0	0.2	0.4
NCU06134	0	0	0
NCU06135	15.4	26.1	14.2
NCU06136	0	0	0.9
NCU06137	3.4	25.2	3
NCU06138	0.1	0.2	0.2
NCU06139	0	0	0
NCU06140	16.5	104.5	3.1
NCU06141	11.8	16.7	28.3
NCU06142	35	121.8	21.5
NCU06143	0	0.1	0
NCU06144	7.5	7.2	2.3
NCU06145	66.5	118	55.1
NCU06146	1.8	3.3	1.3
NCU06147	0	0	0
NCU06148	0	0.1	1.4
NCU06149	134.9	71.6	18.3
NCU06150	8.4	7.7	3.9
NCU06152	0.5	0.6	0.6
NCU06153	2.3	5.6	2.3
NCU06154	0.6	0	2.8
NCU06155	3.9	1.3	1.7
NCU06156	0.3	0	0
NCU06157	0.3	0	0
NCU06159	0.1	0.4	0.2
NCU06160	0	0.5	0
NCU06161	0	0	0
NCU06163	0.2	0.2	0
NCU06164	0.1	0	0
NCU06165	0	0	0
NCU06166	8.9	10.4	20.2
NCU06167	3.9	2	8.9
NCU06168	13	17.4	8
NCU06169	0	0	0
NCU06170	1.6	6.4	9.4
NCU06171	79.2	86.3	15.2
NCU06173	10.9	9.9	1.1
NCU06174	20.6	26.1	2.6
NCU06175	16.6	30.6	8.9
NCU06176	22.9	15	4.9
NCU06177	33.9	22.1	8
NCU06179	52.7	39.8	11.6
NCU06180	4.3	6.7	15.2
NCU06181	19.9	13.4	2.7
NCU06182	30.8	25.7	5.5
NCU06183	23.3	20.1	5.7
NCU06185	235.2	645.5	176.8
NCU06186	1.4	1.1	1.4
NCU06187	630.1	374.2	884.9
NCU06189	91.9	90.5	13.3
NCU06190	7.2	5.6	5.3
NCU06191	38.3	35.2	60.8
NCU06192	17.6	17.5	9
NCU06193	12.7	8.5	6.3
NCU06194	63.7	33.8	29.7
NCU06196	3.4	4.8	5.1
NCU06197	0	0	0
NCU06198	101.6	73.4	10
NCU06199	95.3	73.3	11.1
NCU06200	180.3	190.5	54.9
NCU06201	148.9	149.1	546.7
NCU06202	37.6	29	12.4
NCU06203	67.2	127.6	16.5
NCU06204	3	6.8	6.9
NCU06205	207.6	181.6	31.3
NCU06206	1.7	11.8	18.5
NCU06207	180.9	487.4	325.2
NCU06209	10.4	26.3	7.9
NCU06210	955.9	924.3	491
NCU06211	579	506	162.4
NCU06212	20.6	39.5	20.5
NCU06213	16.9	13.7	3.2
NCU06214	92.5	136.1	21.6
NCU06215	8.1	7.6	1.9
NCU06216	24.3	26.8	13.7
NCU06217	27.1	38.7	9.9
NCU06218	9.6	10.2	4.3
NCU06220	70.9	71.9	13.7
NCU06221	0	0.2	0.3
NCU06222	5.7	4.7	1.1
NCU06223	17.9	16.1	3.3
NCU06224	112.2	145.7	151.5
NCU06226	816.7	622.3	2216.3
NCU06227	4.1	5.2	1.9
NCU06228	58.5	82.2	181.1
NCU06229	0	0	4.2
NCU06230	79.2	120.3	32.9
NCU06231	28.5	28.5	4.2
NCU06232	503.8	274.3	191.4
NCU06233	18.9	10.7	6.7
NCU06234	0.4	0	3.8
NCU06235	3.3	10.5	2.8
NCU06236	0	0.2	0
NCU06237	33	40	24.5
NCU06238	29.8	21.1	7
NCU06239	13.2	13	6.3
NCU06240	100.3	85.7	14.6
NCU06242	93.8	92.9	65.6
NCU06243	21.5	31.6	43.7
NCU06244	174.8	182.5	528.2
NCU06245	7.4	16.8	18.5
NCU06246	33.8	31.2	16.9
NCU06247	336.2	284.5	33.8
NCU06248	13.4	8.5	1.7
NCU06249	35	26.4	8.9
NCU06250	5.2	6.2	0.6
NCU06251	435.6	255.4	62.9
NCU06252	51.3	72.7	11.1
NCU06253	14	14.7	2
NCU06254	12.3	32.7	27.6
NCU06255	15.9	21	3.2
NCU06256	6.1	8.6	8.7
NCU06257	10.6	14.8	7.2
NCU06258	37.7	32	6.2
NCU06259	69.5	74.1	13.7
NCU06260	27.9	30.7	8
NCU06261	119.2	93.8	170.5
NCU06262	8.3	8.4	12.1
NCU06263	0	0	0
NCU06264	5.7	5.9	1.5
NCU06265	208.5	61.8	18.4
NCU06266	15.7	16.5	2
NCU06267	7.5	10.8	2.5
NCU06268	26.7	28.4	42.3
NCU06269	43.7	42.4	6.6
NCU06270	96.5	86.5	17.2
NCU06271	6.1	5	2.2
NCU06272	25.4	30.3	4
NCU06273	7.3	8.3	2.9
NCU06275	66.7	47.5	36.3
NCU06276	5.4	4.2	6.8
NCU06277	66.8	84	18.8
NCU06278	35.4	32.6	21
NCU06279	229.1	129.4	38
NCU06281	6.2	4.9	2.3
NCU06282	11.9	28.3	4.5
NCU06283	7.5	5.3	1.5
NCU06284	82.2	65.8	7.3
NCU06285	18.4	23	3.3
NCU06286	0	0	0
NCU06287	0	0.3	0
NCU06288	0	0	0
NCU06289	0	0.2	0
NCU06290	123	89.4	49.1
NCU06293	0	0	0
NCU06294	12	46.5	2.1
NCU06296	20.9	10.4	14.4
NCU06298	0	0	0
NCU06299	0	0	0
NCU06300	163.7	106	274.9
NCU06301	464	327.1	607.5
NCU06302	0.2	0	1.2
NCU06303	18.4	34.1	31.4
NCU06304	0.7	0.4	1
NCU06305	183	58.7	220.1
NCU06306	13.4	13.9	10.8
NCU06307	185.6	174.2	251.8
NCU06308	40.6	25.3	5.5
NCU06309	30.1	26.2	3.9
NCU06310	48.3	75.6	70.9
NCU06311	106.1	183.2	323.9
NCU06312	0.4	0.6	0.4
NCU06313	0	0.3	0
NCU06314	15.4	18.2	3.8
NCU06315	48	97.4	10.6
NCU06316	0.6	1	0
NCU06317	91.3	66.9	17.3
NCU06318	23	23.4	4.8
NCU06319	0	0.1	1.4
NCU06320	2.5	3.4	1.5
NCU06321	0	0	0.1
NCU06322	73.3	14.9	25235.2
NCU06324	2.2	1.7	0.5
NCU06325	0	0	0
NCU06326	14.6	4.1	2.1
NCU06327	334.4	230.9	123.1
NCU06328	11.2	12.5	2.7
NCU06329	0	0	0
NCU06330	15.7	30.1	6.7
NCU06331	30	65.9	13.7
NCU06332	19.1	72.4	9
NCU06333	109.3	100.1	15.9
NCU06334	2	13.3	0.7
NCU06335	0	0	0
NCU06336	23.2	18.3	4.6
NCU06337	3.3	5.6	3.1
NCU06338	57.4	41.7	9.3
NCU06339	0	0.2	0
NCU06340	14.2	24.3	37.7
NCU06341	7.2	4.2	4.2
NCU06342	87.5	104.3	50.9
NCU06343	3.1	6.6	1.7
NCU06344	122.2	93.7	16.2
NCU06345	2.8	2	0.9
NCU06346	1489.3	1659.1	4967.6
NCU06347	60.1	133.8	49.4
NCU06348	113.8	214.4	103.2
NCU06349	74.1	52	10.1
NCU06350	0	0.5	0
NCU06351	7.8	6.8	21.7
NCU06352	5.4	3.5	4.5
NCU06353	25.5	24.6	54.6
NCU06354	114.8	98.1	33.1
NCU06355	83.6	73	11.3
NCU06358	1.2	2.4	0.8
NCU06359	1.1	0.6	2.8
NCU06360	104.8	161.8	196.8
NCU06361	287.1	247.9	30.6
NCU06362	26.3	38.5	6.5
NCU06363	21.9	17.4	4
NCU06364	28.8	4.4	84.4
NCU06365	6.2	6.3	4.8
NCU06366	45.8	32.3	7.6
NCU06367	76.1	81.3	26.9
NCU06368	4	6.6	17
NCU06369	24.3	42.3	28.8
NCU06370	78	206.2	114.9
NCU06371	17.7	12.5	4.4
NCU06372	93.8	90.1	46.6
NCU06373	0.4	0.1	0.5
NCU06374	28.3	32.3	5.1
NCU06375	18.8	78.4	22.1
NCU06376	5.3	6.3	10.4
NCU06380	45.4	57	44.3
NCU06381	0	0	0
NCU06382	35.1	22.3	13.7
NCU06383	3.9	3.8	5.4
NCU06384	0.2	0.1	0
NCU06385	6.1	8.4	11.9
NCU06386	11.6	12.5	43.7
NCU06387	10.5	5.5	4.7
NCU06389	26.2	19.7	10.4
NCU06390	21.3	17.5	3.1
NCU06391	9.2	7	7.7
NCU06393	14.7	13	15
NCU06394	47	39.4	13.4
NCU06395	23.7	22.3	9.3
NCU06396	24.6	26.7	4.8
NCU06397	393.3	500.9	225.2
NCU06398	2.1	2.4	0.8
NCU06399	17	21.4	15
NCU06400	0.3	1.9	0
NCU06401	10	4.4	10.1
NCU06402	772.7	1282.4	113.7
NCU06403	56.5	48.5	20.8
NCU06404	162.2	158.1	528
NCU06405	16.8	27.8	13.9
NCU06406	5.8	2.9	3
NCU06407	14	15.2	2.2
NCU06409	24.3	20.4	19.7
NCU06410	108.6	115.2	45.3
NCU06411	19.6	15.4	7.1
NCU06412	0.1	0	1.4
NCU06413	2.3	0.2	0.5
NCU06414	16.2	20.9	2.6
NCU06415	7.4	10	6.4
NCU06416	223.3	289.6	129.5
NCU06417	126.4	199.7	237.7
NCU06418	12	12.7	10.4
NCU06419	191.1	140.8	21.6
NCU06420	153.1	0.6	64.1
NCU06421	0.2	0	0
NCU06422	0.4	1.4	3
NCU06423	0	0	0
NCU06424	22.8	28.5	9.8
NCU06425	21.9	35.5	4.6
NCU06426	0	0	0.8
NCU06427	0	0	6.9
NCU06428	21.3	13	1.9
NCU06429	46	40.5	42.2
NCU06430	44.8	45.4	34.2
NCU06431	1274.3	882.5	830.1
NCU06432	1592.1	1285.1	1652.7
NCU06433	44.3	46.4	134
NCU06434	0.2	0	0
NCU06435	16.3	30.3	6.4
NCU06436	53.9	49.8	22.7
NCU06437	6.2	9.2	4
NCU06438	27.8	18.4	12
NCU06439	62.9	65.7	40.1
NCU06440	268.9	398.1	109.1
NCU06441	210.7	99.6	54.8
NCU06443	0.3	2.6	0
NCU06444	11	9.6	12.2
NCU06445	10	12	17.5
NCU06446	52.7	29.6	11.6
NCU06447	85.9	87.7	18.1
NCU06448	280.3	338.6	1535.3
NCU06449	9.2	9.1	1.9
NCU06450	71.1	98.3	29
NCU06451	61.2	66.5	84.4
NCU06452	185.2	159.1	152
NCU06453	8.6	8.6	7.1
NCU06454	95.6	84	15.2
NCU06455	0	0	1.3
NCU06457	268.3	175.6	50.6
NCU06459	83.9	102.4	10.7
NCU06460	49.4	28.7	10.3
NCU06461	10.6	9.3	12.1
NCU06462	10	11.9	2.4
NCU06463	5.4	14.3	9.9
NCU06464	887.7	684.7	1598.3
NCU06465	110	202.1	26.2
NCU06467	5.6	22.2	2.2
NCU06468	8.5	8.5	3.7
NCU06469	82.9	123.5	49.1
NCU06470	12.5	17.2	11.2
NCU06471	96.1	128.5	17.5
NCU06472	52.3	47.3	11.4
NCU06473	33.9	23.6	7.8
NCU06474	0	0	0
NCU06475	0	0	0
NCU06476	0	0	1.2
NCU06478	8.1	7.9	3.9
NCU06479	0	0	0.3
NCU06480	0	0	0.5
NCU06481	27.8	29	10.1
NCU06482	843.5	569.3	950.4
NCU06483	44.3	45.7	4.5
NCU06484	16.4	12.7	2.9
NCU06485	56.6	53.3	4.9
NCU06486	0	0	0
NCU06487	15.2	11.8	3.6
NCU06488	62.2	61	8.3
NCU06489	13.4	17.1	4.5
NCU06490	24.6	35.4	46.2
NCU06491	13	14.6	3.5
NCU06493	204.8	194.5	24.9
NCU06495	205.3	119.6	342.5
NCU06496	8.7	8	5.1
NCU06497	40.1	51.2	25.4
NCU06498	40.1	72.2	8.6
NCU06499	3.7	4.6	2.1
NCU06500	45.3	45.2	4.1
NCU06503	68.1	73.9	11.9
NCU06504	0	0.2	0
NCU06505	0	0	0
NCU06506	110.6	29	15
NCU06507	0	0	0
NCU06508	20.9	14.9	19.8
NCU06509	16.9	55	72.4
NCU06511	19.9	15.4	3.2
NCU06512	5446.7	4417.9	896.9
NCU06513	5.8	10.5	0.3
NCU06514	0.1	0	1.6
NCU06515	26.9	44	13.8
NCU06516	0.1	0	0
NCU06517	0	0	0
NCU06518	15.1	23.2	55.5
NCU06519	0.1	0	0.4
NCU06520	12.6	17.1	6.4
NCU06521	2.3	2.7	13.3
NCU06522	0.1	0.4	1.5
NCU06523	0.2	0.3	0.8
NCU06524	7	10	12
NCU06525	1	0.1	1.6
NCU06526	0.1	0.1	0.7
NCU06529	0	0	0
NCU06530	86.2	57.8	16.1
NCU06531	0.1	0	0
NCU06532	241.3	285.8	341.3
NCU06533	1.8	4.1	1.3
NCU06534	52.4	28.6	6.4
NCU06536	85.3	113.5	10.3
NCU06537	0.4	0.2	0.3
NCU06538	5.9	17.7	10.5
NCU06539	36.7	60.1	6.8
NCU06540	68.5	52.9	9.9
NCU06541	167.3	87.4	68.4
NCU06542	113.8	61.6	317.7
NCU06543	49.8	35.3	12.4
NCU06544	120.3	93.9	11.9
NCU06546	20.4	19.6	6.3
NCU06547	0.1	0.1	0.4
NCU06548	0.1	0.1	0
NCU06549	159.7	209	92.1
NCU06550	2600	3920	3048.4
NCU06551	18.9	17.2	3.5
NCU06552	11.3	13.1	22.5
NCU06553	5.1	9.5	4.7
NCU06554	200.1	161.5	69.3
NCU06555	0.3	0.3	0
NCU06556	590.8	370.2	2063.1
NCU06557	1.9	0.1	42
NCU06558	99.8	98.9	170.6
NCU06559	1.3	1.1	21.7
NCU06560	92.7	151.6	18.4
NCU06561	407.7	516.9	42.9
NCU06563	12.8	8.7	2.6
NCU06565	9.7	8.3	2.4
NCU06566	14.5	17	3.7
NCU06568	15.1	29.9	6.2
NCU06569	32.3	28.1	23.8
NCU06570	0	0	0
NCU06571	0	0	0
NCU06572	4.5	0.4	0.4
NCU06573	0.1	0.3	1.7
NCU06574	0.1	0.2	10.1
NCU06575	0.1	0.5	0
NCU06576	45.7	61.6	15.2
NCU06577	3.5	2.2	1.6
NCU06578	83.1	57.4	11.4
NCU06579	10	9.8	3.1
NCU06581	0	0	0
NCU06582	0.4	0.1	0.2
NCU06583	0.6	0.4	1
NCU06584	8.1	5.6	1.3
NCU06585	4	4.4	2.9
NCU06586	10.9	36.2	5.1
NCU06587	62.9	33.7	15.2
NCU06588	292.2	170	2057.4
NCU06589	1	0.3	0
NCU06590	0	0.3	0
NCU06591	0	0	0
NCU06592	14.4	23.4	4
NCU06593	55.5	59.6	3.4
NCU06594	15.2	17.9	12.4
NCU06595	10.2	12	9.7
NCU06596	16.2	16	45.4
NCU06597	178.4	21.4	161.9
NCU06598	5.1	5	0.6
NCU06599	0	0	1.3
NCU06601	28	18	8.6
NCU06602	13	18.1	3.5
NCU06603	293.6	129.7	149.5
NCU06604	0	0	0
NCU06605	43.1	29.6	20.2
NCU06606	533.3	515.3	708.5
NCU06607	1.3	19.3	6.3
NCU06608	2.1	1.3	4.3
NCU06609	33.6	30.4	10.2
NCU06610	44.4	24.4	17.2
NCU06611	4.5	5.9	2.8
NCU06612	0.1	0.2	0.6
NCU06613	0.6	0.4	0.8
NCU06614	3.8	3	1.4
NCU06615	20.3	30.7	22.6
NCU06616	11.5	25.6	32.1
NCU06617	214	311.8	193.3
NCU06618	0.1	0.2	0.4
NCU06619	533.6	245	71.6
NCU06620	0.5	0	0
NCU06621	11.7	10.4	3.3
NCU06622	61.5	72.1	65.3
NCU06623	38.3	39.2	114.4
NCU06624	12.1	7.9	7.9
NCU06625	2.4	3.7	4
NCU06626	15.2	11.9	2.5
NCU06627	4.7	3	7.1
NCU06628	32.7	19.8	7.4
NCU06629	0	0.3	0.3
NCU06630	267.6	150.7	98.4
