## mrna and ribosome profiling read counts for S. pombe 972h- genes
## Duncan C and Mata J (2017) Effects of cycloheximide on the interpretation of ribosome profiling experiments in Schizosaccharomyces pombe. Scientific reports 7:10331
## personal communication by Juan Mata <jm593@cam.ac.uk>, 2019
## 
Gene	wt.noN.CHX.ribo.cds.1	wt.N.CHX.ribo.cds.1	wt.noN.noCHX.ribo.cds.1	wt.N.noCHX.ribo.cds.1	wt.noN.CHX.ribo.cds.3	wt.N.CHX.ribo.cds.3	wt.noN.noCHX.ribo.cds.3	wt.N.noCHX.ribo.cds.3	wt.noN.CHX.mrna.cds.1	wt.N.CHX.mrna.cds.1	wt.noN.noCHX.mrna.cds.1	wt.N.noCHX.mrna.cds.1	wt.noN.CHX.mrna.cds.3	wt.N.CHX.mrna.cds.3	wt.noN.noCHX.mrna.cds.3	wt.N.noCHX.mrna.cds.3
SPBC13G1.07	301	418	28	143	54	129	26	61	246	756	274	363	740	1055	535	591
SPBC13G1.08c	569	1339	73	416	99	488	76	197	1012	2256	836	1188	2053	3332	1422	2100
SPBC13G1.09	696	1711	58	795	134	626	52	331	1179	3106	582	1262	1944	3680	943	1683
SPBC13G1.10c	1364	962	255	520	215	334	186	198	2970	4116	2099	1915	4185	4603	3018	2813
SPBC13G1.11	3123	1431	579	736	498	546	416	285	868	965	636	616	1325	1081	912	794
SPBC13G1.12	951	742	174	351	188	255	119	159	213	334	143	158	461	526	290	308
SPBC13G1.13	453	653	45	265	94	215	60	100	823	1441	625	717	1497	1899	1250	1113
SPBC13G1.14c	1131	579	153	205	239	192	124	93	399	571	295	279	649	663	425	429
SPBC13G1.15c	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	5	2	5	19	15	22	6
SPBC13G1.16	6	2	2	2	1	3	0.5	1	2	2	1	1	7	6	6	1
SPBC146.01	5115	954	1189	516	879	388	916	166	7102	4205	4762	1759	11343	4019	6354	1985
SPBC146.02	172	75	29	24	48	40	15	7	102	177	68	45	347	303	207	120
SPBC146.03c	1243	1230	353	651	249	441	227	253	2169	4206	1332	2123	3330	4787	2399	2833
SPBC146.04	525	236	36	85	126	74	36	27	241	326	173	142	442	420	280	226
SPBC146.05c	1217	1013	190	388	208	286	125	141	1401	2191	636	828	1395	1882	785	794
SPBC146.06c	37	55	12	29	1	28	3	11	195	311	173	141	588	734	451	344
SPBC146.07	1876	1927	275	841	298	631	224	278	1733	2856	875	1182	2464	3389	1453	1595
SPBC146.08c	368	555	36	301	103	173	34	120	248	583	157	301	451	709	351	533
SPBC146.09c	1043	688	172	332	157	242	120	129	2721	3316	1981	1497	5032	4287	3345	2365
SPBC146.10	564	304	121	154	116	110	96	66	400	512	259	241	717	684	506	379
SPBC146.11c	12	6	1	3	0.5	4	6	2	14	39	14	17	40	82	34	42
SPBC146.12	1480	1291	275	710	297	438	179	223	605	1111	535	526	1697	2222	1338	1350
SPBC146.13c	12667	7315	3164	3710	2609	2390	2378	1204	6778	7186	6396	3658	16747	11310	13209	8101
SPBC146.14c	5941	6756	1310	3603	1128	2499	1017	1366	3299	6303	3041	3229	8379	10264	6215	7120
SPBC14C8.01c	2301	281	372	195	410	159	293	64	724	494	567	162	1720	646	1023	326
SPBC14C8.02	1541	1741	185	904	212	629	145	341	1087	2351	500	1011	2261	3649	1056	1917
SPBC14C8.03	4243	5910	853	2956	837	2080	765	1256	1796	3900	1414	2226	3168	5493	2309	3725
SPBC14C8.04	6286	3736	528	3565	925	1737	364	1345	610	1762	659	767	2747	4648	2256	3588
SPBC14C8.05c	21	15	0.5	6	5	2	0.5	1	5	17	8	9	18	18	12	8
SPBC14C8.06	18395	7968	2453	2839	3222	2795	1695	1240	1305	1624	1425	737	6577	5450	5465	4320
SPBC14C8.07c	2740	692	464	319	818	295	635	133	3372	2983	2406	1179	6148	2683	3505	987
SPBC14C8.09c	47	50	3	22	7	22	3	3	85	175	96	81	244	228	205	141
SPBC14C8.10	783	500	150	327	169	196	120	125	227	410	170	178	497	604	345	331
SPBC14C8.11c	157	167	16	76	35	80	19	25	65	118	28	65	129	223	110	103
SPBC14C8.12	481	1448	72	675	148	411	97	318	117	467	67	254	232	622	164	453
SPBC14C8.13	36	112	5	34	4	46	5	13	254	724	225	379	253	475	220	250
SPBC14C8.14c	803	2027	95	1056	147	630	80	360	1757	4626	826	1962	3176	5780	1634	3226
SPBC14C8.15	973	976	101	376	124	309	93	174	661	1033	533	513	1414	1637	1131	1046
SPBC14C8.16c	1083	586	190	478	221	229	138	175	541	1035	419	523	1162	1399	718	917
SPBC14C8.17c	646	383	87	219	138	165	72	80	647	1240	435	486	1144	1449	720	755
SPBC14C8.19	65	307	5	169	8	91	7	71	186	627	137	354	206	565	181	337
SPBC14F5.01	44	88	7	39	8	26	8	17	304	733	198	452	371	747	278	394
SPBC14F5.02	776	713	75	277	138	287	80	116	1203	1953	973	907	2477	2628	1938	1643
SPBC14F5.03c	2454	7306	376	3302	344	2375	314	1163	1436	5281	903	2340	4167	9968	2385	6543
SPBC14F5.04c	61282	240556	12259	143615	6762	95392	4868	45386	2294	15704	3222	9240	14393	44350	11408	41415
SPBC14F5.05c	18574	73348	4583	42131	4268	30868	4789	16206	1090	7596	1116	3444	7158	19857	5535	16095
SPBC14F5.06	2431	6581	275	3173	450	2527	271	1255	938	3847	746	1687	3047	6494	1612	4414
SPBC14F5.07	1732	2211	263	1174	318	592	225	323	1324	2447	906	982	2240	2363	1321	1600
SPBC14F5.08	380	522	58	250	45	169	49	95	437	1096	285	550	644	1138	402	586
SPBC14F5.09c	3282	8959	687	5174	508	3184	555	2047	668	2512	523	1255	2538	6526	1954	5011
SPBC14F5.10c	871	465	110	237	126	162	77	77	778	626	919	283	1823	910	1419	517
SPBC14F5.11c	3563	933	634	467	693	301	450	193	2377	1775	1916	761	4226	2274	2856	1261
SPBC14F5.12c	474	592	96	237	79	172	53	106	743	1291	429	721	1275	1279	964	811
SPBC14F5.13c	12403	4527	2909	2693	1895	1197	1647	777	3670	2791	3399	1559	7305	3881	6087	2796
SPBC1539.01c	1892	1107	242	418	413	355	304	200	602	891	591	472	1290	1176	1018	784
SPBC1539.02	591	200	122	110	83	60	64	32	1033	940	594	392	1190	759	739	414
SPBC1539.03c	6633	4735	1508	3138	1425	1714	1348	1079	1301	1513	1125	900	4849	3502	4084	2417
SPBC1539.04	7662	3036	1400	1477	904	1012	753	482	1115	1294	1514	635	2559	1895	1749	1343
SPBC1539.05	824	567	168	359	181	251	149	127	755	1174	461	526	1565	1809	1002	944
SPBC1539.06	7855	3633	1912	3570	2328	1543	2003	1497	343	469	263	301	1259	1495	916	1141
SPBC1539.07c	7240	3593	1371	2066	1211	1220	968	857	1253	1123	1116	612	3022	2024	2545	1567
SPBC1539.08	1198	782	82	377	200	281	70	129	141	251	79	113	475	490	336	309
SPBC1539.09c	3296	5658	400	3119	530	1975	280	1234	2198	4839	1927	2599	5435	7675	4440	5287
SPBC1539.10	457	1018	34	444	64	335	30	194	669	1886	397	1042	536	1498	353	849
SPBC15C4.01c	1184	1343	228	683	237	507	183	296	317	743	245	375	923	1363	709	833
SPBC15C4.02	1247	658	233	319	231	199	210	153	601	917	416	455	1743	1818	1187	1173
SPBC15C4.03	968	731	207	375	140	250	115	149	980	1164	723	605	1622	1619	1151	938
SPBC15C4.04c	1620	3326	255	1401	215	982	191	498	654	2141	594	1263	1546	3378	1088	2277
SPBC15C4.05	440	875	98	436	62	292	82	168	1615	4485	1203	2145	2770	5050	1889	3050
SPBC15C4.06c	570	123	86	62	110	53	84	30	586	440	279	146	1392	735	688	295
SPBC15D4.01c	1064	323	183	175	160	93	116	65	1213	1030	802	410	1528	874	935	531
SPBC15D4.02	2778	886	595	353	373	258	328	93	817	639	747	223	1827	701	728	324
SPBC15D4.03	687	312	117	181	93	148	79	83	809	1106	528	491	1728	1954	1062	1072
SPBC15D4.04	959	1182	90	454	142	371	77	139	401	957	352	351	1108	1546	635	904
SPBC15D4.05	439	654	68	323	101	351	63	178	459	1115	302	511	642	1283	439	724
SPBC15D4.06	471	240	40	127	65	80	27	72	322	507	164	252	343	518	222	308
SPBC15D4.07c	1785	374	276	175	209	118	218	53	1711	1148	1233	464	3277	1725	1970	818
SPBC15D4.08c	442	53	61	37	101	41	30	16	76	79	42	29	223	130	103	85
SPBC15D4.09c	2645	2583	525	1368	498	742	540	532	2153	3338	1469	1475	4120	4467	2964	2541
SPBC15D4.10c	227	433	32	141	57	158	13	51	880	1555	678	764	1334	1476	840	871
SPBC15D4.11c	543	245	103	80	74	79	52	42	220	257	150	96	487	340	297	183
SPBC15D4.12c	0.5	0.5	1	1	0.5	0.5	1	0.5	51	34	47	19	98	51	80	27
SPBC15D4.13c	423	165	65	73	40	52	28	12	172	150	115	70	309	203	198	131
SPBC15D4.14	768	946	135	431	122	353	85	151	1037	1941	635	851	2026	2596	1216	1289
SPBC15D4.15	18245	11289	4812	7776	3525	3698	3693	2549	2201	2777	2198	1977	5779	4948	4939	3721
SPBC1604.01	1058	534	226	262	50	128	52	64	1060	976	805	379	1610	1481	1135	848
SPBC1604.02c	567	322	92	162	79	138	75	56	998	1741	770	697	2771	2983	1756	1757
SPBC1604.03c	2986	1049	484	510	779	383	583	206	545	592	577	259	2028	945	1352	581
SPBC1604.04	1609	3009	267	1490	257	1289	186	629	411	1492	441	851	1024	2667	694	1839
SPBC1604.05	51111	40190	15413	24837	7501	14851	8164	8101	5765	8967	6508	5119	18442	19565	15373	16491
SPBC1604.06c	888	960	129	572	148	429	103	230	504	1519	321	682	1761	2623	827	1407
SPBC1604.07	14156	5254	2997	3314	2500	2183	2164	1304	1192	1549	1222	801	4171	3497	3277	2638
SPBC1604.08c	2609	3870	463	2156	413	1395	289	797	1216	2773	913	1354	2871	4539	1703	2706
SPBC1604.09c	257	488	17	173	42	163	15	71	109	356	62	109	281	496	190	223
SPBC1604.10	710	203	82	140	148	101	74	62	177	290	157	143	356	414	326	282
SPBC1604.11	5719	2168	1267	1470	927	828	859	536	226	365	240	139	1008	913	857	776
SPBC1604.12	2526	1531	575	871	380	657	407	319	1836	3150	1223	1149	5201	5620	2922	2832
SPBC1604.13c	461	549	57	178	70	209	27	81	472	854	479	545	798	1068	602	739
SPBC1604.14c	1818	1745	335	602	310	570	317	213	1228	2184	889	833	2132	2485	1219	1165
SPBC1604.15	661	665	119	230	86	214	93	62	732	1121	566	438	1572	1539	926	794
SPBC1604.16c	230	204	16	54	31	48	9	16	634	778	365	357	554	619	355	337
SPBC1604.17c	419	305	55	130	87	109	68	78	309	517	195	261	583	662	317	303
SPBC1604.18c	395	273	48	134	54	113	35	43	578	708	208	250	453	522	225	196
SPBC1604.19c	220	265	41	90	47	95	38	37	1161	1434	849	480	3075	2580	1942	1276
SPBC1604.20c	950	415	261	213	135	156	154	80	1471	1353	949	513	1999	1536	1201	779
SPBC1604.21c	18530	10119	4602	5410	2609	3296	2683	1892	9165	9703	8442	5127	15790	13731	12426	9890
SPBC1604.25	183	152	25	87	44	52	27	37	122	249	76	133	143	202	97	147
SPBC1652.01	2474	128	357	63	333	79	221	28	1103	417	568	201	1887	828	1146	403
SPBC1652.02	44	2000	13	1051	3	581	5	279	34	1931	25	912	39	2826	28	1548
SPBC1677.02	3362	1820	597	1030	669	716	497	452	374	500	289	269	828	929	573	737
SPBC1677.03c	3448	5645	480	3440	578	1910	303	1023	2072	4596	1690	2773	4959	7644	3950	5689
SPBC1683.01	111	3938	12	1572	9	847	12	546	494	2052	1028	840	1700	2972	2050	1652
SPBC1683.02	1266	196	194	134	398	64	363	43	965	320	582	196	2355	391	1666	254
SPBC1683.03c	7049	2706	1110	1171	782	703	615	373	3655	2112	2646	1018	6441	3137	4703	2130
SPBC1683.04	715	448	117	201	104	133	101	80	1286	1088	693	539	2514	1458	1560	762
SPBC1683.05	40639	614	7278	257	9179	245	7264	104	10962	1793	8396	730	31694	3704	21714	1866
SPBC1683.06c	29759	198	2953	141	5619	78	2248	46	7013	136	6579	109	20237	460	17332	353
SPBC1683.07	491	83	105	27	131	30	106	16	804	339	534	160	2355	708	1590	428
SPBC1683.08	433	104	72	49	78	27	46	17	280	125	276	92	453	228	402	202
SPBC1683.09c	183	550	35	280	40	227	23	131	97	504	71	237	219	931	144	579
SPBC1683.10c	1803	1546	308	660	494	519	443	235	568	1059	531	355	2627	2439	2154	1474
SPBC1683.11c	2502	268	590	203	578	141	565	68	1030	587	671	265	2852	1093	1967	693
SPBC1683.12	10320	416	1656	279	3133	136	2763	92	3906	455	2321	237	10282	822	7520	554
SPBC1683.13c	426	167	96	96	53	64	54	41	1090	990	1001	553	1711	955	1393	627
SPBC1685.01	327	269	37	116	27	96	44	44	526	941	511	365	651	680	393	280
SPBC1685.02c	1815	14763	83	7183	232	6263	42	2850	311	2131	433	1184	1989	6431	1665	5294
SPBC1685.03	1087	707	110	356	155	285	65	131	379	518	353	254	760	800	697	497
SPBC1685.04	178	148	28	53	25	58	14	30	264	324	156	141	418	476	232	236
SPBC1685.05	13176	448	3510	195	2064	130	2490	58	4957	821	4953	330	11444	1153	8883	715
SPBC1685.06	4	7	1	6	1	5	0.5	3	6	19	2	11	6	34	6	15
SPBC1685.07c	1086	454	87	160	158	161	80	60	277	464	223	120	1414	944	710	404
SPBC1685.08	808	532	222	293	125	158	109	97	1011	1286	485	435	1512	1475	750	613
SPBC1685.09	8294	9224	371	9907	1729	4398	348	4496	125	464	98	268	426	1215	230	909
SPBC1685.10	10092	17497	584	10112	2585	10659	455	4972	185	957	185	440	1853	4511	1075	3794
SPBC1685.11	107	144	12	48	12	45	5	23	182	432	119	179	428	714	329	435
SPBC1685.12c	8	2	0.5	1	0.5	0.5	0.5	1	25	25	21	10	24	31	18	25
SPBC1685.13	83892	10901	16575	4610	7322	2256	6281	1148	4641	2243	5834	916	7212	1994	4519	1364
SPBC1685.14c	4059	1102	883	582	593	346	534	186	3721	1634	2361	748	5315	1927	3721	1264
SPBC1685.15c	338	375	60	188	85	169	67	87	643	2190	290	754	1092	2364	582	946
SPBC1685.16	907	575	103	205	248	226	77	76	55	132	42	39	258	273	183	160
SPBC1685.17	3	44	1	8	2	10	0.5	3	30	111	16	69	75	129	50	94
SPBC16A3.01	1984	1467	458	643	394	467	289	275	747	1228	620	467	1786	1892	1311	1138
SPBC16A3.02c	107159	4885	30239	2510	7792	1256	8628	763	8328	1576	8162	567	16287	2735	13307	1942
SPBC16A3.03c	116	116	15	45	19	50	9	24	574	1212	559	507	1669	1782	1002	1047
SPBC16A3.04	1001	1143	162	533	140	377	115	192	370	746	274	361	582	876	378	475
SPBC16A3.05c	2096	1766	284	997	341	759	246	406	780	1438	556	742	1685	2346	1204	1472
SPBC16A3.06	47	140	12	51	2	36	2	21	301	723	220	353	373	664	285	434
SPBC16A3.07c	1590	731	158	339	296	276	129	117	1619	1952	1360	944	2832	1932	1861	1124
SPBC16A3.08c	7536	25478	1329	19298	954	12353	703	6910	934	6264	995	3053	2756	11304	1965	8798
SPBC16A3.09c	3463	992	720	470	561	349	465	187	1090	952	946	381	2095	1417	1647	855
SPBC16A3.10	806	739	114	391	121	264	100	155	710	1228	694	550	1729	1932	1230	1198
SPBC16A3.11	372	319	50	142	62	114	26	53	1014	1895	725	864	2024	2524	1430	1359
SPBC16A3.12c	1146	1033	183	510	191	365	165	219	526	973	377	507	1122	1552	796	1012
SPBC16A3.13	92	28	7	15	41	11	10	13	90	113	74	63	228	147	186	106
SPBC16A3.14	1212	635	220	407	246	270	146	161	411	758	329	384	947	1246	723	835
SPBC16A3.15c	8151	9283	1653	5301	1629	3562	1460	2134	1840	3885	1520	2149	5428	7094	4272	5236
SPBC16A3.16	202	241	25	107	48	96	13	43	277	490	169	354	194	373	152	269
SPBC16A3.17c	2901	574	403	242	282	192	202	58	2824	1076	2291	454	5579	1835	3601	834
SPBC16A3.18	4103	1047	851	601	677	421	596	233	1862	1577	1804	666	3564	1965	2643	1137
SPBC16A3.19	240	252	26	111	50	96	37	46	295	597	233	256	490	599	384	336
SPBC16C6.01c	49	113	5	62	18	46	9	23	123	395	113	202	324	628	254	354
SPBC16C6.02c	8873	2458	2405	1251	1281	802	1471	406	9186	6385	8513	3533	15742	7960	13511	6295
SPBC16C6.03c	285	264	64	135	54	97	33	49	444	714	349	357	515	650	330	422
SPBC16C6.04	377	203	48	69	58	70	41	30	373	456	388	145	904	581	650	252
SPBC16C6.05	666	1006	95	616	139	322	93	227	494	1422	325	721	634	1472	495	905
SPBC16C6.06	4626	3404	1201	1697	676	914	686	445	4030	4287	3364	2155	8192	6068	6163	4194
SPBC16C6.07c	5121	3806	1421	2547	755	1492	831	1040	1866	2973	1566	1476	3698	4724	2485	3055
SPBC16C6.08c	10919	6786	3372	4314	1899	2108	2118	1517	2330	3133	1957	1904	3642	3885	2859	2920
SPBC16C6.09	2413	3384	419	1739	444	1077	370	553	1404	3158	1251	1495	3801	5137	2653	3505
SPBC16C6.10	7	52	0.5	21	2	21	3	12	131	348	99	177	287	532	274	311
SPBC16C6.11	5072	12128	311	9266	982	5454	255	3785	283	2060	244	1103	1390	5855	946	4883
SPBC16C6.12c	322	779	42	275	66	285	39	137	332	1058	193	440	1081	1822	486	1024
SPBC16C6.13c	6191	7192	1441	3807	1088	2272	982	1317	2114	3986	1762	1909	6305	7633	4785	5025
SPBC16C6.14	3	3	1	1	1	0.5	0.5	2	807	561	674	302	1116	595	1043	522
SPBC16D10.01c	242	1061	34	503	47	321	38	191	363	1582	198	588	616	1780	383	897
SPBC16D10.02	199	668	29	266	47	258	22	86	267	1214	162	552	549	1475	332	730
SPBC16D10.03	853	1058	157	568	121	357	113	222	673	1618	512	768	1234	2361	923	1411
SPBC16D10.04c	742	306	159	130	149	107	120	57	1710	2431	1108	1021	3674	3213	2359	1708
SPBC16D10.05	407	308	62	143	111	69	79	37	2414	2883	2099	1329	4759	3031	3944	1990
SPBC16D10.06	1857	5119	319	1780	246	1925	207	851	410	1572	217	731	908	3367	431	1870
SPBC16D10.07c	454	523	110	249	99	171	80	83	323	557	186	231	714	922	472	470
SPBC16D10.08c	13387	9280	4189	4984	1489	2591	1694	1384	3318	3967	2892	1775	7763	6552	5835	5968
SPBC16D10.09	3866	4205	662	2376	797	1657	661	1064	771	1746	580	883	1973	3003	1470	2062
SPBC16D10.10	5653	910	818	398	1062	409	570	179	3701	1729	2764	913	6144	1876	4170	1163
SPBC16D10.11c	3073	8051	290	5429	535	4391	192	2267	289	1982	227	1072	1383	5018	1062	4323
SPBC16E9.01c	1283	1356	277	674	226	473	196	244	435	1194	393	504	935	1590	605	863
SPBC16E9.02c	3096	2278	837	1191	545	781	618	452	4710	5743	3388	3177	5851	5375	4287	3515
SPBC16E9.03c	675	405	73	168	99	141	66	52	222	351	179	194	421	475	296	233
SPBC16E9.05	13882	10683	3522	6094	3154	3776	3619	2156	1834	2673	1932	1629	6111	5498	5029	3989
SPBC16E9.06c	195	203	29	91	28	77	21	21	127	242	100	117	246	295	223	158
SPBC16E9.07	6	0.5	1	0.5	2	1	3	0.5	85	155	60	74	251	272	170	152
SPBC16E9.08	18	32	1	16	6	11	2	5	41	93	23	64	75	130	57	75
SPBC16E9.09c	3766	2559	463	1418	828	1091	419	565	604	1050	456	642	1881	2273	1444	1676
SPBC16E9.10c	376	1283	53	545	63	409	41	219	390	1393	189	482	1010	2139	472	1013
SPBC16E9.11c	3608	1390	536	661	567	510	356	249	2410	2766	1777	998	5149	4045	3137	2108
SPBC16E9.12c	2507	2056	389	1073	512	764	239	425	379	598	280	339	621	907	509	535
SPBC16E9.13	2895	2208	227	829	401	807	204	311	2332	2730	2483	1317	7206	5204	6493	3659
SPBC16E9.14c	585	414	61	192	94	167	65	69	509	753	413	455	1130	1110	612	546
SPBC16E9.15	1175	708	214	340	334	380	228	193	87	143	67	89	219	256	172	168
SPBC16E9.16c	169630	614	70372	470	6430	68	6022	59	25752	615	31282	243	23286	470	14766	353
SPBC16E9.17c	1	1	0.5	2	0.5	1	0.5	1	2	4	2	0.5	0.5	1	0.5	2
SPBC16E9.18	304	578	33	258	39	193	25	99	522	1170	440	489	1552	2345	1284	1521
SPBC16E9.19	269	235	39	114	46	60	30	50	96	179	90	89	180	289	150	170
SPBC16E9.20	19	0.5	3	1	1	1	1	1	14	3	20	1	28	3	16	2
SPBC16G5.01	4094	2821	893	2126	880	1090	911	876	926	1314	722	776	1526	1863	1232	1357
SPBC16G5.02c	6832	920	1327	438	1156	316	878	149	2511	778	1810	367	4826	1150	3512	805
SPBC16G5.03	256	224	14	26	37	74	17	15	602	709	521	261	1361	899	1055	465
SPBC16G5.04	1150	1071	159	434	236	467	103	172	479	741	384	454	635	1001	447	684
SPBC16G5.05c	11621	10213	2437	5027	2382	4016	1936	1812	2304	3860	2644	2281	7006	7299	5759	5479
SPBC16G5.06	180	244	17	50	28	97	13	19	561	777	547	360	922	823	727	388
SPBC16G5.07c	1297	827	218	374	213	312	131	148	478	729	343	300	1294	1187	818	707
SPBC16G5.08	1882	1809	384	781	327	706	326	302	647	1294	660	573	1606	1704	1057	1101
SPBC16G5.09	4483	2306	776	1206	852	681	688	441	1224	1478	900	574	3571	2577	2608	1528
SPBC16G5.10	1162	652	123	458	217	301	117	226	301	588	162	288	793	1017	443	583
SPBC16G5.11c	992	531	138	316	188	211	112	122	525	794	436	440	763	897	549	505
SPBC16G5.12c	192	192	38	86	44	70	25	41	576	1356	366	654	806	1430	500	735
SPBC16G5.13	86	85	5	25	15	40	7	9	134	205	112	132	325	335	252	215
SPBC16G5.14c	13143	33730	906	39180	1420	17329	430	15136	745	6309	831	2748	3977	17836	3120	14882
SPBC16G5.15c	319	762	55	332	84	315	56	120	637	2042	302	748	1083	2027	536	922
SPBC16G5.16	1041	572	167	250	207	222	147	99	1255	1645	1141	689	2331	1787	1298	960
SPBC16G5.17	105	162	16	78	18	51	16	51	552	1129	378	608	1076	1471	900	785
SPBC16G5.18	1616	1425	244	735	262	425	168	259	1131	1392	850	926	1506	1661	1104	1102
SPBC16G5.19	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	0.5	0.5	0.5	0.5	0.5	1	0.5	0.5
SPBC16H5.02	49511	59922	13335	30358	8586	21059	8477	8931	6121	14517	8753	8210	23713	30427	19277	25859
SPBC16H5.03c	1155	1043	177	542	176	363	111	208	888	1371	607	645	1734	2041	1192	1344
SPBC16H5.04	2701	2224	279	1343	467	1062	250	550	372	1053	333	550	1251	2155	919	1559
SPBC16H5.05c	796	623	131	303	161	241	80	148	852	1424	578	675	1269	1662	924	935
SPBC16H5.06	16236	8096	3215	4799	2162	3385	2053	1791	491	777	502	298	2333	1883	1570	1408
SPBC16H5.07c	4047	2190	719	1135	536	718	462	410	966	1342	769	519	2457	2403	1792	1484
SPBC16H5.08c	4617	10626	733	5607	682	3795	512	2300	1976	6567	1366	3208	4881	11523	3229	7982
SPBC16H5.09c	176	407	27	184	25	103	12	60	247	551	169	251	462	861	366	475
SPBC16H5.10c	1436	3230	265	1603	272	1150	144	564	780	2350	414	887	2572	4559	1388	2556
SPBC16H5.11c	1813	2988	222	1454	304	1120	146	570	1023	2904	743	1218	2974	5111	1894	3300
SPBC16H5.12c	5966	3752	1606	1968	1091	1317	1133	726	2665	3566	2155	1470	6275	6071	4869	3703
SPBC16H5.13	833	544	88	244	119	178	67	96	1150	1297	942	587	2863	2083	2164	1215
SPBC16H5.14c	106	161	20	60	13	87	9	33	168	343	125	148	499	660	330	447
SPBC16H5.15	220	173	26	85	49	36	20	34	115	308	84	171	183	390	132	267
SPBC1703.01c	312	375	32	164	42	162	22	73	353	807	275	401	753	1047	613	651
SPBC1703.02	1535	1138	260	655	267	420	245	244	1984	3312	1565	1631	3200	3318	2134	1975
SPBC1703.03c	713	1884	108	971	132	727	72	366	399	1582	176	609	1251	3241	592	1570
SPBC1703.04	241	141	26	69	25	59	18	25	596	839	426	362	1019	1043	601	504
SPBC1703.05	699	1220	61	511	109	494	48	180	324	955	166	360	656	1410	396	675
SPBC1703.06	562	537	70	259	88	195	53	109	872	1564	370	493	1862	2175	824	936
SPBC1703.07	7442	19021	1115	10002	1265	6583	822	3531	2092	5544	2203	3003	6950	11634	6634	9195
SPBC1703.08c	280	185	48	90	55	56	41	42	207	291	123	137	289	270	232	174
SPBC1703.09	322	112	60	48	61	53	34	11	312	336	239	152	674	451	495	308
SPBC1703.10	12267	5790	2726	3925	2916	2372	2639	1527	1127	1699	1557	1113	3498	2855	3074	2126
SPBC1703.11	995	516	132	162	170	167	128	63	534	576	281	266	905	767	576	417
SPBC1703.12	1731	489	251	289	311	157	171	124	1479	1349	1403	608	3165	1727	2134	975
SPBC1703.13c	19214	11556	3745	5699	2276	4212	2299	2120	1732	2581	1825	1364	6282	6017	4798	4476
SPBC1703.14c	581	1119	89	549	102	410	59	197	1728	3889	826	1549	2429	4123	1380	2300
SPBC1703.15c	976	772	157	364	154	250	94	143	938	1767	590	740	1680	2349	1128	1305
SPBC1706.01	742	898	139	459	160	361	132	169	1524	2631	1210	1062	3205	3148	1946	1680
SPBC1706.02c	5	3	0.5	0.5	2	0.5	1	0.5	42	20	27	14	46	11	24	10
SPBC1706.03	740	598	149	295	120	244	107	109	1234	1558	865	662	2309	1987	1660	1088
SPBC1709.01	80	195	13	82	27	83	21	41	257	1005	189	326	744	1982	516	907
SPBC1709.02c	4280	15740	678	8548	484	6070	462	3053	1829	6703	1810	3347	6892	14940	5333	11488
SPBC1709.03	4957	3182	1004	1827	1058	1058	899	705	1242	1947	1248	911	3984	3772	3344	2552
SPBC1709.04c	419	534	72	253	102	174	52	104	136	324	85	186	238	455	190	290
SPBC1709.05	12923	108614	1273	63198	1509	44613	777	21805	4545	23322	4940	13908	16200	48044	12894	40402
SPBC1709.06	468	594	32	324	64	191	27	86	215	571	129	248	580	1091	392	697
SPBC1709.07	2121	1469	341	804	351	577	261	314	313	659	282	288	1282	1336	879	828
SPBC1709.08	1324	1559	295	813	246	573	210	289	2061	3375	1731	1521	5133	5572	3720	3574
SPBC1709.09	551	218	63	132	91	112	38	58	239	288	132	125	460	415	277	225
SPBC1709.10c	1410	843	372	490	404	321	446	198	153	213	122	109	326	338	280	228
SPBC1709.11c	1722	420	235	351	415	173	214	133	894	854	768	389	1506	855	1085	550
SPBC1709.12	3283	668	603	381	734	279	718	156	1156	729	925	422	3602	1450	2886	861
SPBC1709.13c	186	545	23	240	24	182	17	77	375	1280	287	583	681	1741	442	925
SPBC1709.14	471	449	88	232	59	118	63	87	322	550	195	268	476	741	285	428
SPBC1709.15c	933	1083	156	564	176	410	85	182	1382	2497	868	1243	1961	2458	1187	1395
SPBC1709.16c	946	551	158	244	156	195	106	72	364	489	239	214	814	732	611	410
SPBC1709.17	977	1327	147	769	149	484	107	268	443	1208	339	576	1213	2184	989	1461
SPBC1709.18	2190	1753	320	837	353	643	232	338	991	1514	753	908	1674	2240	1375	1594
SPBC1709.19c	2392	1461	429	798	353	494	219	250	639	774	296	350	1085	1100	653	667
SPBC1709.20	272	136	37	51	49	50	34	31	20	38	19	15	123	146	59	88
SPBC1711.01c	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	1	0.5	0.5	1	0.5	0.5	1
SPBC1711.02	481	284	84	201	64	99	47	52	78	163	50	79	190	251	122	183
SPBC1711.03	1410	1013	195	565	245	366	191	215	313	608	273	293	834	1030	666	655
SPBC1711.04	1294	2905	91	1480	223	1072	84	634	609	1910	488	959	1529	3063	1228	2151
SPBC1711.05	637	2065	85	1229	152	1089	65	470	654	2401	369	1392	1562	4092	831	2846
SPBC1711.06	5049	19411	585	12618	548	8909	294	4647	580	4173	564	1893	2573	11363	1848	8552
SPBC1711.07	515	2096	43	983	72	735	31	353	370	2297	157	754	1182	4365	477	2212
