# scores_kozak_JEC21.txt
# Scores of ATG context against Kozak sequence, C. neoformans serotype D JEC21
# Kozak sequence derived from 330 highest-translated genes by RPF
#
# Gene: JEC21 systematic gene name
# aATG.scorekn: score of annotated ATG against narrow Kozak sequence (NNNNATG)
# d1.scorekn: score of 1st downstream ATG agains narrow
# u1.scorekn: score of 1st upstream ATG in 5' UTR against narrow
# xx.scorekw: analogous scores against wide Kozak sequence (NNNNNNNNNNATG)
#
# Edward Wallace, June 2018
Gene	aATG.scorekn	d1.scorekn	d2.scorekn	u1.scorekn	aATG.scorekw	d1.scorekw	d2.scorekw	u1.scorekw	d1vsan	u1vsan	d1vsaw	u1vsaw
CNE03170	0.964	0.828	0.723	NA	0.917	0.817	0.733	NA	-0.135	NA	-0.1	NA
CNE03180	0.83	0.876	0.756	NA	0.828	0.765	0.743	NA	0.046	NA	-0.063	NA
CNE03190	0.964	0.886	0.707	NA	0.945	0.84	0.703	NA	-0.078	NA	-0.105	NA
CNE03200	0.915	0.837	0.745	NA	0.857	0.813	0.734	NA	-0.078	NA	-0.043	NA
CNE03210	0.779	0.886	0.863	0.81	0.685	0.792	0.808	0.813	0.106	0.03	0.106	0.128
CNE03220	0.922	0.828	0.876	0.777	0.889	0.709	0.765	0.774	-0.094	-0.145	-0.18	-0.115
CNE03230	0.914	0.759	0.782	0.836	0.838	0.763	0.796	0.824	-0.154	-0.077	-0.075	-0.014
CNE03240	0.828	0.92	0.897	0.776	0.841	0.912	0.821	0.774	0.092	-0.052	0.072	-0.066
CNE03250	0.839	0.872	0.929	0.793	0.794	0.809	0.832	0.791	0.032	-0.047	0.015	-0.003
CNE03260	0.839	0.897	0.819	NA	0.848	0.766	0.774	NA	0.058	NA	-0.082	NA
CNE03270	0.863	0.92	0.785	NA	0.78	0.803	0.757	NA	0.057	NA	0.024	NA
CNE03280	0.966	0.786	0.839	NA	0.926	0.775	0.805	NA	-0.18	NA	-0.152	NA
CNE03290	0.92	0.743	0.865	NA	0.844	0.717	0.816	NA	-0.177	NA	-0.127	NA
CNE03300	0.922	0.752	0.888	NA	0.879	0.757	0.835	NA	-0.17	NA	-0.122	NA
CNE03310	0.761	0.814	0.859	NA	0.752	0.75	0.864	NA	0.053	NA	-0.002	NA
CNE03320	0.872	0.751	0.761	NA	0.871	0.747	0.77	NA	-0.121	NA	-0.124	NA
CNE03330	0.835	0.732	0.851	NA	0.823	0.7	0.823	NA	-0.103	NA	-0.123	NA
CNE03340	0.914	0.745	0.707	0.68	0.922	0.67	0.719	0.664	-0.169	-0.233	-0.252	-0.258
CNE03350	0.94	0.87	0.836	NA	0.909	0.837	0.769	NA	-0.07	NA	-0.072	NA
CNE03360	1	0.793	0.785	NA	0.959	0.785	0.764	NA	-0.207	NA	-0.174	NA
CNE03370	0.862	0.658	0.723	0.847	0.852	0.673	0.696	0.821	-0.204	-0.016	-0.179	-0.031
CNE03380	0.977	0.859	0.805	NA	0.873	0.869	0.793	NA	-0.118	NA	-0.004	NA
CNE03390	0.817	0.922	0.859	0.886	0.745	0.878	0.808	0.873	0.105	0.069	0.133	0.128
CNE03395	0.862	0.743	0.749	0.847	0.871	0.708	0.637	0.791	-0.119	-0.016	-0.163	-0.079
CNE03400	0.975	0.741	0.828	NA	0.947	0.698	0.81	NA	-0.233	NA	-0.249	NA
CNE03410	0.876	0.977	0.701	0.798	0.843	0.897	0.687	0.776	0.101	-0.078	0.053	-0.068
CNE03420	0.888	0.83	0.683	NA	0.87	0.761	0.722	NA	-0.058	NA	-0.109	NA
CNE03430	0.854	0.761	0.787	NA	0.845	0.743	0.738	NA	-0.092	NA	-0.101	NA
CNE03440	0.784	0.897	0.942	0.884	0.735	0.798	0.858	0.779	0.113	0.101	0.062	0.043
CNE03450	0.897	0.966	0.761	NA	0.849	0.858	0.734	NA	0.069	NA	0.009	NA
CNE03460	0.989	0.736	0.794	NA	0.934	0.745	0.743	NA	-0.253	NA	-0.189	NA
CNE03463	0.812	0.839	0.785	0.922	0.774	0.823	0.737	0.899	0.027	0.11	0.049	0.125
CNE03465	0.899	0.776	0.925	NA	0.832	0.729	0.863	NA	-0.123	NA	-0.103	NA
CNE03470	0.989	0.819	0.911	NA	0.935	0.762	0.844	NA	-0.17	NA	-0.173	NA
CNE03480	0.964	0.738	0.781	NA	0.948	0.744	0.751	NA	-0.226	NA	-0.204	NA
CNE03490	0.816	0.841	0.77	0.723	0.81	0.841	0.75	0.726	0.026	-0.092	0.031	-0.084
CNE03500	0.964	0.86	0.86	NA	0.935	0.829	0.844	NA	-0.104	NA	-0.106	NA
CNE03510	0.895	0.964	0.964	NA	0.852	0.91	0.921	NA	0.069	NA	0.057	NA
CNE03520	0.964	0.872	0.75	NA	0.852	0.789	0.778	NA	-0.091	NA	-0.063	NA
CNE03525	0.952	0.761	0.733	0.787	0.898	0.774	0.777	0.729	-0.191	-0.165	-0.124	-0.169
CNE03530	0.787	0.872	0.785	NA	0.739	0.836	0.727	NA	0.085	NA	0.098	NA
CNE03540	0.952	0.839	0.765	NA	0.926	0.756	0.716	NA	-0.112	NA	-0.17	NA
CNE03550	0.975	0.828	0.837	NA	0.96	0.743	0.856	NA	-0.146	NA	-0.217	NA
CNE03560	0.872	0.813	0.827	NA	0.87	0.82	0.757	NA	-0.059	NA	-0.05	NA
CNE03570	0.94	0.761	0.846	0.836	0.817	0.735	0.736	0.827	-0.179	-0.104	-0.082	0.01
CNE03590	0.952	0.966	0.723	0.94	0.939	0.894	0.698	0.905	0.014	-0.012	-0.045	-0.034
CNE03600	0.777	0.802	0.819	0.874	0.771	0.817	0.767	0.875	0.024	0.097	0.047	0.105
CNE03610	0.94	0.854	0.68	NA	0.851	0.838	0.669	NA	-0.086	NA	-0.013	NA
CNE03620	0.914	0.781	0.762	NA	0.918	0.758	0.751	NA	-0.132	NA	-0.16	NA
CNE03630	0.86	0.758	0.802	NA	0.786	0.728	0.754	NA	-0.102	NA	-0.059	NA
CNE03640	0.911	0.796	0.813	NA	0.897	0.806	0.827	NA	-0.115	NA	-0.09	NA
CNE03650	0.819	0.835	0.911	0.749	0.78	0.778	0.875	0.603	0.015	-0.07	-0.002	-0.177
CNE03660	0.922	0.758	0.683	0.859	0.89	0.72	0.653	0.835	-0.164	-0.063	-0.17	-0.055
CNE03670	0.814	0.698	0.784	NA	0.843	0.667	0.818	NA	-0.116	NA	-0.175	NA
CNE03680	0.785	0.815	0.817	0.802	0.807	0.806	0.766	0.737	0.031	0.017	-0.001	-0.071
CNE03700	0.92	0.811	0.872	0.738	0.834	0.807	0.851	0.642	-0.109	-0.182	-0.027	-0.193
CNE03710	0.92	0.785	0.751	NA	0.93	0.765	0.728	NA	-0.135	NA	-0.166	NA
CNE03720	0.964	0.888	0.698	NA	0.893	0.787	0.629	NA	-0.076	NA	-0.106	NA
CNE03730	0.837	0.795	0.836	0.828	0.829	0.729	0.786	0.831	-0.042	-0.009	-0.1	0.002
CNE03740	0.906	0.846	0.897	NA	0.826	0.832	0.854	NA	-0.06	NA	0.006	NA
CNE03750	0.886	0.85	0.718	NA	0.87	0.848	0.714	NA	-0.035	NA	-0.022	NA
CNE03760	0.929	0.718	0.707	NA	0.911	0.715	0.653	NA	-0.211	NA	-0.196	NA
CNE03770	0.886	0.784	1	NA	0.887	0.773	0.961	NA	-0.102	NA	-0.113	NA
CNE03780	0.865	0.676	0.818	0.809	0.753	0.697	0.815	0.75	-0.189	-0.056	-0.056	-0.003
CNE03790	0.872	0.77	0.74	NA	0.85	0.754	0.72	NA	-0.101	NA	-0.097	NA
CNE03800	0.865	0.724	0.701	0.79	0.834	0.699	0.645	0.789	-0.141	-0.074	-0.134	-0.044
CNE03810	0.863	0.844	0.723	0.899	0.858	0.843	0.689	0.883	-0.019	0.036	-0.015	0.025
CNE03820	0.977	0.925	0.899	NA	0.896	0.828	0.858	NA	-0.052	NA	-0.068	NA
CNE03830	1	0.838	0.736	NA	0.943	0.796	0.654	NA	-0.162	NA	-0.148	NA
CNE03840	0.925	0.681	0.897	NA	0.837	0.67	0.824	NA	-0.243	NA	-0.167	NA
CNE03850	0.837	0.854	0.862	NA	0.823	0.813	0.766	NA	0.017	NA	-0.01	NA
CNE03860	0.932	0.826	0.817	NA	0.869	0.824	0.747	NA	-0.106	NA	-0.045	NA
CNE03870	0.952	1	0.845	NA	0.933	0.945	0.76	NA	0.048	NA	0.012	NA
CNE03880	0.837	0.761	0.917	0.736	0.804	0.701	0.858	0.723	-0.076	-0.101	-0.103	-0.081
CNE03890	0.952	0.845	0.854	NA	0.939	0.8	0.737	NA	-0.107	NA	-0.139	NA
CNE03900	0.925	0.861	0.813	0.74	0.832	0.852	0.739	0.696	-0.063	-0.184	0.02	-0.136
CNE03910	0.922	0.841	0.839	0.842	0.904	0.734	0.81	0.813	-0.081	-0.08	-0.17	-0.091
CNE03920	0.977	0.803	0.886	NA	0.982	0.733	0.828	NA	-0.174	NA	-0.249	NA
CNE03930	0.811	0.745	0.802	0.79	0.766	0.749	0.764	0.796	-0.066	-0.02	-0.017	0.031
CNE03940	0.683	0.795	0.75	0.82	0.641	0.703	0.702	0.771	0.112	0.137	0.062	0.131
CNE03950	0.839	0.727	0.83	0.796	0.798	0.701	0.766	0.791	-0.112	-0.044	-0.098	-0.007
CNE03960	0.975	0.732	0.812	NA	0.949	0.764	0.755	NA	-0.243	NA	-0.184	NA
CNE03970	0.917	0.743	0.854	0.787	0.877	0.663	0.816	0.736	-0.174	-0.13	-0.215	-0.141
CNE03980	0.945	0.818	0.863	NA	0.836	0.777	0.782	NA	-0.127	NA	-0.059	NA
CNE03990	0.911	0.658	0.781	NA	0.849	0.575	0.771	NA	-0.253	NA	-0.274	NA
CNE04000	1	0.975	0.785	NA	0.969	0.841	0.732	NA	-0.025	NA	-0.128	NA
CNE04010	0.941	0.874	0.706	NA	0.911	0.849	0.701	NA	-0.067	NA	-0.062	NA
CNE04020	0.886	0.87	0.816	NA	0.877	0.791	0.824	NA	-0.016	NA	-0.086	NA
CNE04030	1	0.881	0.888	NA	0.965	0.844	0.827	NA	-0.119	NA	-0.122	NA
CNE04040	0.914	0.79	0.77	0.749	0.867	0.784	0.715	0.732	-0.124	-0.164	-0.083	-0.135
CNE04050	0.989	0.822	0.897	NA	0.978	0.786	0.858	NA	-0.167	NA	-0.192	NA
CNE04055	0.865	0.86	0.805	0.753	0.861	0.82	0.789	0.721	-0.005	-0.112	-0.04	-0.14
CNE04060	0.813	0.812	0.785	NA	0.816	0.755	0.785	NA	-0	NA	-0.062	NA
CNE04080	0.989	0.94	0.776	0.904	0.934	0.879	0.693	0.833	-0.049	-0.085	-0.055	-0.101
CNE04090	1	0.725	0.709	NA	0.943	0.705	0.626	NA	-0.275	NA	-0.238	NA
CNE04100	0.895	0.763	0.785	NA	0.851	0.731	0.785	NA	-0.131	NA	-0.121	NA
CNE04110	0.975	NA	NA	0.802	0.912	NA	NA	0.716	NA	-0.173	NA	-0.196
CNE04120	0.917	0.863	0.85	0.758	0.865	0.878	0.801	0.758	-0.054	-0.159	0.013	-0.107
CNE04130	0.835	0.701	0.906	0.922	0.803	0.704	0.913	0.877	-0.134	0.088	-0.098	0.074
CNE04140	0.863	0.885	0.735	NA	0.842	0.9	0.727	NA	0.023	NA	0.058	NA
CNE04150	0.863	0.837	0.828	0.795	0.841	0.835	0.789	0.809	-0.026	-0.067	-0.006	-0.032
CNE04160	0.859	0.964	0.815	NA	0.837	0.877	0.771	NA	0.105	NA	0.041	NA
CNE04170	0.92	0.758	0.989	NA	0.916	0.735	0.923	NA	-0.162	NA	-0.181	NA
CNE04180	0.862	0.815	0.836	0.837	0.829	0.715	0.83	0.795	-0.047	-0.025	-0.114	-0.034
CNE04190	0.975	0.792	0.917	0.784	0.953	0.75	0.814	0.745	-0.183	-0.19	-0.203	-0.208
CNE04200	0.989	0.733	0.673	NA	0.917	0.711	0.662	NA	-0.256	NA	-0.205	NA
CNE04210	0.975	0.809	0.865	NA	0.948	0.783	0.778	NA	-0.166	NA	-0.165	NA
CNE04220	1	0.899	0.862	NA	0.96	0.793	0.789	NA	-0.101	NA	-0.166	NA
CNE04230	0.945	0.922	0.676	0.735	0.942	0.866	0.653	0.731	-0.023	-0.21	-0.076	-0.211
CNE04240	1	0.881	0.785	NA	0.923	0.834	0.785	NA	-0.119	NA	-0.09	NA
CNE04250	0.842	0.819	0.837	0.73	0.849	0.8	0.775	0.713	-0.024	-0.112	-0.049	-0.136
CNE04260	0.945	0.92	0.683	NA	0.888	0.83	0.687	NA	-0.025	NA	-0.058	NA
CNE04270	0.911	0.941	0.751	NA	0.886	0.904	0.754	NA	0.03	NA	0.018	NA
CNE04280	0.828	0.767	0.749	0.798	0.772	0.785	0.777	0.722	-0.062	-0.03	0.013	-0.05
CNE04290	0.975	0.787	0.743	NA	0.933	0.795	0.721	NA	-0.188	NA	-0.138	NA
CNE04300	0.92	0.977	0.94	NA	0.896	0.856	0.866	NA	0.057	NA	-0.04	NA
CNE04310	0.941	0.86	0.845	0.758	0.918	0.839	0.757	0.735	-0.081	-0.183	-0.079	-0.183
CNE04315	0.86	0.803	0.874	0.816	0.842	0.785	0.813	0.788	-0.057	-0.044	-0.056	-0.054
CNE04320	0.839	0.68	0.762	NA	0.732	0.737	0.71	NA	-0.159	NA	0.005	NA
CNE04330	0.837	0.862	0.819	0.778	0.759	0.798	0.828	0.731	0.025	-0.059	0.039	-0.028
CNE04340	0.81	0.945	0.925	0.759	0.838	0.846	0.917	0.729	0.135	-0.052	0.008	-0.11
CNE04350	1	0.865	0.785	NA	0.924	0.802	0.736	NA	-0.135	NA	-0.122	NA
CNE04360	0.989	0.759	0.862	NA	0.94	0.728	0.832	NA	-0.23	NA	-0.212	NA
CNE04370	0.819	0.752	0.94	0.847	0.718	0.751	0.872	0.848	-0.067	0.028	0.032	0.13
CNE04380	0.859	0.709	0.854	0.776	0.849	0.732	0.776	0.805	-0.151	-0.083	-0.117	-0.044
CNE04390	0.857	0.865	0.753	NA	0.763	0.83	0.698	NA	0.008	NA	0.067	NA
CNE04400	0.835	0.922	0.863	NA	0.83	0.866	0.826	NA	0.087	NA	0.036	NA
CNE04410	0.92	0.906	0.914	NA	0.838	0.919	0.87	NA	-0.014	NA	0.081	NA
CNE04420	0.698	0.809	0.872	0.837	0.73	0.728	0.837	0.804	0.111	0.139	-0.002	0.073
CNE04430	0.929	0.842	0.825	NA	0.873	0.801	0.821	NA	-0.087	NA	-0.071	NA
CNE04440	0.914	0.785	0.802	NA	0.89	0.747	0.77	NA	-0.129	NA	-0.143	NA
CNE04450	0.862	0.68	0.707	NA	0.844	0.64	0.575	NA	-0.182	NA	-0.204	NA
CNE04460	0.872	0.785	0.828	NA	0.867	0.751	0.762	NA	-0.087	NA	-0.115	NA
CNE04470	0.899	0.781	0.865	0.735	0.832	0.774	0.805	0.758	-0.119	-0.165	-0.058	-0.073
CNE04480	0.86	0.76	0.899	0.842	0.787	0.721	0.824	0.811	-0.1	-0.018	-0.066	0.024
CNE04490	0.966	0.941	0.759	NA	0.93	0.826	0.716	NA	-0.025	NA	-0.104	NA
CNE04500	0.975	0.706	0.761	NA	0.899	0.707	0.701	NA	-0.269	NA	-0.193	NA
CNE04510	0.92	0.71	0.681	NA	0.922	0.686	0.583	NA	-0.21	NA	-0.236	NA
CNE04520	0.888	0.872	0.756	0.813	0.883	0.791	0.764	0.797	-0.017	-0.075	-0.092	-0.086
CNE04530	0.811	1	0.782	0.845	0.757	0.98	0.755	0.808	0.189	0.034	0.222	0.051
CNE04540	0.94	0.761	0.724	NA	0.881	0.741	0.699	NA	-0.179	NA	-0.14	NA
CNE04550	0.886	0.837	0.758	NA	0.851	0.816	0.734	NA	-0.049	NA	-0.035	NA
CNE04560	0.839	0.886	0.847	NA	0.756	0.87	0.752	NA	0.046	NA	0.114	NA
CNE04580	0.859	0.897	0.906	NA	0.839	0.74	0.86	NA	0.038	NA	-0.099	NA
CNE04590	0.906	0.734	0.776	0.673	0.866	0.612	0.705	0.7	-0.172	-0.234	-0.254	-0.166
CNE04595	0.897	0.707	0.732	NA	0.871	0.676	0.722	NA	-0.19	NA	-0.195	NA
CNE04600	0.819	0.736	0.706	0.811	0.733	0.657	0.672	0.824	-0.084	-0.009	-0.076	0.091
CNE04610	0.736	0.897	0.837	0.725	0.749	0.879	0.767	0.671	0.161	-0.011	0.13	-0.079
CNE04620	0.966	0.863	0.802	0.865	0.915	0.891	0.775	0.816	-0.104	-0.101	-0.023	-0.099
CNE04630	0.929	0.975	0.828	NA	0.867	0.918	0.789	NA	0.046	NA	0.051	NA
CNE04640	0.895	0.776	0.836	NA	0.901	0.739	0.818	NA	-0.118	NA	-0.162	NA
CNE04650	0.904	0.816	0.802	0.758	0.881	0.757	0.751	0.769	-0.088	-0.146	-0.124	-0.112
CNE04660	0.906	0.819	0.785	0.787	0.881	0.82	0.791	0.753	-0.088	-0.119	-0.061	-0.128
CNE04670	0.854	0.812	0.73	0.904	0.823	0.79	0.642	0.879	-0.041	0.05	-0.033	0.056
CNE04680	0.966	0.922	0.929	0.836	0.89	0.849	0.874	0.833	-0.044	-0.13	-0.041	-0.057
CNE04690	1	0.825	0.75	NA	0.94	0.812	0.76	NA	-0.175	NA	-0.129	NA
CNE04695	0.886	0.888	0.884	0.759	0.839	0.848	0.805	0.747	0.003	-0.127	0.009	-0.092
CNE04700	0.742	0.811	0.756	NA	0.766	0.777	0.694	NA	0.069	NA	0.01	NA
CNE04710	0.759	0.767	0.784	NA	0.798	0.773	0.782	NA	0.008	NA	-0.025	NA
CNE04720	0.732	0.733	0.865	0.767	0.712	0.723	0.85	0.738	0.001	0.035	0.011	0.025
CNE04730	0.904	0.698	0.741	0.917	0.889	0.704	0.74	0.887	-0.206	0.013	-0.185	-0.002
CNE04740	0.701	0.742	0.929	0.749	0.754	0.771	0.88	0.744	0.041	0.048	0.017	-0.01
CNE04750	0.906	0.805	0.786	0.683	0.867	0.813	0.737	0.67	-0.101	-0.223	-0.054	-0.197
CNE04760	0.86	0.793	0.925	0.915	0.841	0.777	0.88	0.815	-0.068	0.055	-0.064	-0.026
CNE04770	0.759	0.836	0.756	0.813	0.673	0.829	0.746	0.795	0.078	0.055	0.157	0.123
CNE04780	0.94	0.701	0.964	NA	0.907	0.665	0.807	NA	-0.239	NA	-0.242	NA
CNE04790	0.863	0.77	0.975	0.842	0.831	0.735	0.903	0.803	-0.093	-0.021	-0.096	-0.029
CNE04800	0.945	0.975	0.874	0.835	0.914	0.853	0.764	0.773	0.03	-0.111	-0.061	-0.141
CNE04810	0.941	0.784	0.743	NA	0.878	0.814	0.66	NA	-0.157	NA	-0.064	NA
CNE04820	0.816	0.835	0.698	0.805	0.807	0.826	0.681	0.781	0.019	-0.011	0.019	-0.026
CNE04830	0.861	0.914	0.761	NA	0.867	0.924	0.702	NA	0.052	NA	0.058	NA
CNE04840	0.94	0.899	0.819	0.895	0.85	0.856	0.796	0.813	-0.042	-0.046	0.006	-0.037
CNE04860	0.975	0.707	0.899	NA	0.94	0.631	0.872	NA	-0.268	NA	-0.309	NA
CNE04870	0.94	0.845	0.761	NA	0.873	0.796	0.787	NA	-0.095	NA	-0.077	NA
CNE04880	0.964	0.895	0.842	0.785	0.913	0.799	0.766	0.779	-0.069	-0.179	-0.114	-0.134
CNE04890	0.975	0.734	0.862	NA	0.913	0.642	0.82	NA	-0.241	NA	-0.271	NA
CNE04900	0.975	0.767	0.845	NA	0.939	0.677	0.764	NA	-0.208	NA	-0.262	NA
CNE04910	0.847	0.885	0.904	NA	0.852	0.878	0.864	NA	0.038	NA	0.026	NA
CNE04915	0.818	0.92	0.776	0.785	0.8	0.855	0.764	0.724	0.102	-0.033	0.056	-0.076
CNE04920	0.917	0.897	NA	NA	0.867	0.788	NA	NA	-0.02	NA	-0.079	NA
CNE04930	0.874	0.799	0.745	0.897	0.852	0.75	0.703	0.859	-0.075	0.023	-0.102	0.007
CNE04940	0.915	0.828	0.81	NA	0.871	0.822	0.805	NA	-0.087	NA	-0.049	NA
CNE04950	0.756	0.883	0.964	0.876	0.674	0.867	0.902	0.864	0.127	0.12	0.193	0.19
CNE04960	0.842	1	0.922	0.785	0.848	0.937	0.877	0.802	0.158	-0.058	0.089	-0.047
CNE04970	0.906	0.917	0.718	0.734	0.894	0.9	0.671	0.686	0.011	-0.172	0.006	-0.208
CNE04980	0.94	0.802	0.925	NA	0.929	0.781	0.901	NA	-0.139	NA	-0.148	NA
CNE04990	0.966	0.851	0.727	NA	0.947	0.821	0.66	NA	-0.115	NA	-0.126	NA
CNE05000	0.964	0.883	0.837	NA	0.948	0.861	0.748	NA	-0.081	NA	-0.087	NA
CNE05010	0.899	0.845	0.698	0.837	0.866	0.773	0.652	0.79	-0.054	-0.062	-0.093	-0.076
CNE05020	0.917	0.749	0.752	NA	0.834	0.707	0.685	NA	-0.168	NA	-0.127	NA
CNE05030	0.922	0.906	0.759	0.854	0.807	0.854	0.698	0.864	-0.016	-0.068	0.046	0.057
CNE05040	0.828	0.952	0.94	NA	0.789	0.923	0.886	NA	0.123	NA	0.134	NA
CNE05050	0.964	0.68	0.793	NA	0.944	0.608	0.712	NA	-0.284	NA	-0.336	NA
CNE05060	0.899	0.899	0.966	NA	0.895	0.859	0.899	NA	0	NA	-0.035	NA
CNE05070	0.92	0.85	0.964	0.859	0.783	0.845	0.875	0.833	-0.07	-0.061	0.061	0.049
CNE05080	0.906	0.699	0.762	0.756	0.895	0.668	0.719	0.668	-0.207	-0.151	-0.226	-0.227
CNE05090	0.863	0.743	0.844	NA	0.873	0.738	0.838	NA	-0.12	NA	-0.136	NA
CNE05100	0.899	0.816	0.683	NA	0.821	0.811	0.675	NA	-0.084	NA	-0.01	NA
CNE05110	0.929	0.812	0.783	0.888	0.917	0.776	0.734	0.867	-0.117	-0.041	-0.14	-0.049
CNE05120	0.906	0.884	0.727	NA	0.805	0.855	0.675	NA	-0.022	NA	0.05	NA
CNE05130	1	0.813	0.757	NA	0.88	0.749	0.737	NA	-0.187	NA	-0.131	NA
CNE05140	0.966	0.914	0.683	0.818	0.958	0.863	0.702	0.817	-0.052	-0.148	-0.095	-0.141
CNE05150	0.752	0.92	0.758	NA	0.71	0.865	0.679	NA	0.168	NA	0.155	NA
CNE05160	0.698	0.794	0.886	0.847	0.681	0.827	0.871	0.786	0.096	0.149	0.146	0.106
CNE05170	0.724	0.819	0.759	0.706	0.61	0.678	0.707	0.693	0.095	-0.018	0.068	0.083
CNE05180	0.895	1	0.734	0.767	0.788	0.905	0.685	0.759	0.105	-0.128	0.118	-0.029
CNE05190	0.975	0.779	0.952	NA	0.956	0.691	0.834	NA	-0.195	NA	-0.265	NA
CNE05200	0.865	0.706	0.767	0.837	0.742	0.679	0.717	0.779	-0.159	-0.028	-0.063	0.037
CNE05210	0.828	0.922	0.743	NA	0.821	0.88	0.695	NA	0.094	NA	0.059	NA
CNE05220	0.862	0.845	0.897	NA	0.863	0.827	0.862	NA	-0.018	NA	-0.036	NA
CNE05230	0.917	0.906	0.819	NA	0.786	0.817	0.784	NA	-0.011	NA	0.03	NA
CNE05240	0.865	0.966	0.727	0.863	0.82	0.913	0.688	0.808	0.101	-0.002	0.094	-0.012
CNE05250	0.925	0.787	0.683	0.888	0.885	0.77	0.63	0.853	-0.138	-0.036	-0.115	-0.032
CNE05260	0.793	0.862	0.828	0.942	0.762	0.842	0.771	0.869	0.069	0.149	0.08	0.106
CNE05290	0.964	0.752	0.785	0.839	0.937	0.741	0.674	0.755	-0.211	-0.124	-0.196	-0.182
CNE05300	0.863	0.805	0.812	0.87	0.839	0.765	0.764	0.869	-0.058	0.007	-0.074	0.031
CNE05310	0.92	0.842	0.862	0.781	0.892	0.801	0.82	0.702	-0.078	-0.139	-0.091	-0.19
CNE05320	0.915	0.756	0.776	0.911	0.917	0.696	0.727	0.811	-0.159	-0.004	-0.22	-0.105
CNE05330	0.863	0.818	0.914	0.759	0.773	0.753	0.783	0.707	-0.045	-0.103	-0.019	-0.066
CNE05340	0.975	0.914	0.825	0.837	0.925	0.846	0.734	0.693	-0.061	-0.138	-0.079	-0.232
CNE05350	0.964	0.785	0.888	NA	0.922	0.733	0.859	NA	-0.179	NA	-0.189	NA
CNE05360	0.911	0.827	0.803	NA	0.884	0.809	0.716	NA	-0.084	NA	-0.075	NA
CNE05380	0.785	0.742	0.823	0.767	0.739	0.722	0.791	0.683	-0.043	-0.018	-0.018	-0.056
CNF00010	0.989	0.837	0.897	NA	0.916	0.852	0.781	NA	-0.152	NA	-0.064	NA
CNF00020	0.785	0.872	0.707	0.793	0.764	0.816	0.71	0.72	0.087	0.008	0.053	-0.043
CNF00040	1	0.767	0.761	NA	0.947	0.71	0.742	NA	-0.233	NA	-0.237	NA
CNF00050	0.966	0.776	0.837	0.865	0.922	0.694	0.771	0.851	-0.19	-0.101	-0.228	-0.071
CNF00070	0.942	0.725	0.767	NA	0.849	0.724	0.729	NA	-0.218	NA	-0.125	NA
CNF00080	0.727	0.805	0.863	NA	0.712	0.777	0.826	NA	0.078	NA	0.065	NA
CNF00090	0.917	0.828	0.752	NA	0.858	0.835	0.686	NA	-0.089	NA	-0.024	NA
CNF00100	0.845	0.81	0.698	0.655	0.862	0.801	0.693	0.599	-0.034	-0.19	-0.061	-0.263
CNF00120	0.842	0.758	0.723	NA	0.857	0.777	0.74	NA	-0.084	NA	-0.08	NA
CNF00125	0.813	0.941	0.733	0.966	0.794	0.925	0.755	0.893	0.127	0.153	0.131	0.099
CNF00130	0.897	0.795	0.785	NA	0.873	0.755	0.764	NA	-0.102	NA	-0.118	NA
CNF00140	0.886	0.741	0.94	NA	0.837	0.732	0.847	NA	-0.144	NA	-0.106	NA
CNF00150	0.817	0.816	0.859	0.819	0.684	0.783	0.876	0.791	-0.001	0.003	0.099	0.107
CNF00160	0.87	0.838	0.874	NA	0.85	0.81	0.776	NA	-0.032	NA	-0.04	NA
CNF00163	0.861	0.886	0.768	0.787	0.822	0.867	0.73	0.79	0.024	-0.075	0.045	-0.032
CNF00165	0.813	0.837	0.822	0.776	0.771	0.791	0.714	0.683	0.024	-0.037	0.02	-0.087
CNF00167	0.735	0.837	0.845	0.826	0.716	0.79	0.813	0.704	0.102	0.091	0.074	-0.012
CNF00170	0.819	0.756	0.816	NA	0.802	0.731	0.697	NA	-0.064	NA	-0.071	NA
CNF00180	0.863	1	0.727	0.874	0.825	0.954	0.774	0.833	0.137	0.011	0.129	0.008
CNF00190	0.835	0.851	0.743	0.733	0.804	0.864	0.756	0.762	0.017	-0.101	0.06	-0.041
CNF00195	0.794	0.914	0.844	NA	0.781	0.881	0.793	NA	0.12	NA	0.101	NA
CNF00200	0.906	0.683	0.828	NA	0.801	0.742	0.766	NA	-0.223	NA	-0.059	NA
CNF00210	0.989	0.822	0.819	NA	0.921	0.845	0.799	NA	-0.167	NA	-0.077	NA
CNF00220	0.828	0.872	0.819	0.776	0.812	0.769	0.789	0.734	0.043	-0.052	-0.044	-0.078
CNF00230	0.897	0.816	0.82	0.922	0.865	0.822	0.753	0.9	-0.081	0.025	-0.042	0.035
CNF00240	1	0.736	0.792	0.655	0.99	0.689	0.748	0.663	-0.264	-0.345	-0.301	-0.327
CNF00250	0.888	0.718	0.86	0.842	0.829	0.745	0.845	0.802	-0.17	-0.046	-0.083	-0.027
CNF00260	1	0.839	0.845	NA	0.957	0.779	0.792	NA	-0.161	NA	-0.178	NA
CNF00270	0.941	0.803	0.851	NA	0.901	0.792	0.77	NA	-0.138	NA	-0.109	NA
CNF00280	0.767	0.767	0.819	0.803	0.646	0.72	0.799	0.767	0	0.036	0.073	0.121
CNF00290	0.929	0.86	0.725	NA	0.86	0.861	0.609	NA	-0.069	NA	0.001	NA
