# scores_kozak_unusual_mito_cc.txt
# Scores of ATG context against Kozak and unusual tRS seq, and mito predictions
# Conserved in H99 and JEC21
#
#
# H99: H99 systematic gene name
# JEC21: JEC21 systematic gene name of ortholog
# aATG.scorekw.xx: score of annotated ATG against wide Kozak sequence (NNNNNNNNNNATG), strain xx
# d1.scorekw.xx: score of 1st downstream ATG against wide Kozak sequence, strain xx
# u1.scorekw.xx: score of 1st upstream ATG in 5' UTR against wide Kozak sequence, strain xx
# aATG.scoreUw.xx: score of annotated ATG against wide Unusual tRNA Synthetase sequence (NNNNATG), strain xx
# aATG.scoreUw.xx: score of annotated ATG against wide Unusual tRNA Synthetase sequence (NNNNATG), strain xx
# Prob_mito.xx: Probability of mitochondrial presequence from mitofates, strain xx
# Pred_mito.xx: Prediction from mitofates, strain xx
#
# Edward Wallace, Jan 2019
H99	JEC21	aATG.scorekw.H99	d1.scorekw.H99	u1.scorekw.H99	aATG.scorekw.JEC21	d1.scorekw.JEC21	u1.scorekw.JEC21	aATG.scoreUw.H99	aATG.scoreUw.JEC21	Prob_mito.H99	Pred_mito.H99	Prob_mito.JEC21	Pred_mito.JEC21
CNAG_03496	CNG00965	0.908	0.783	0.789	0.936	0.781	0.691	0.721	0.629	0.019	No	0.024	No
CNAG_05580	CNH02265	0.937	0.81	0.742	0.889	0.807	0.766	0.598	0.65	0.005	No	0.278	No
CNAG_06102	CNM01090	0.863	0.818	0.759	0.952	0.816	0.872	0.454	0.585	0.004	No	0.004	No
CNAG_00713	CNA06920	0.912	0.825	0.733	0.904	0.824	0.704	0.637	0.637	0	No	0	No
CNAG_02337	CNE02100	0.814	0.874	NA	0.772	0.867	0.812	0.564	0.648	0.003	No	0.008	No
CNAG_01845	CNC03300	0.912	0.742	NA	0.917	0.753	NA	0.599	0.646	0	No	0	No
CNAG_07549	CNK01210	0.665	0.691	0.834	0.875	0.836	0.63	0.527	0.595	0.032	No	0	No
CNAG_01344	CND04590	0.862	0.664	NA	0.769	0.795	0.729	0.601	0.584	0.009	No	0.019	No
CNAG_01555	CNC06295	0.855	0.835	NA	0.851	0.821	NA	0.644	0.644	0.028	No	0.009	No
CNAG_00512	CNA04940	0.911	0.748	NA	0.913	0.735	NA	0.485	0.485	0.452	Yes	0.222	No
CNAG_00301	CNA02870	0.808	0.71	0.867	0.817	0.717	0.834	0.724	0.724	0	No	0	No
CNAG_02491	CNE00690	0.97	0.838	NA	0.967	0.813	NA	0.607	0.607	0	No	0	No
CNAG_07784	CNI00030	0.885	0.866	NA	0.895	0.768	0.842	0.606	0.653	0	No	0	No
CNAG_00537	CNA05200	0.825	0.938	NA	0.859	0.918	NA	0.678	0.69	0.966	Yes	0.987	Yes
CNAG_02914	CNC05240	0.984	0.862	NA	0.978	0.857	NA	0.629	0.641	1	Yes	1	Yes
CNAG_02716	CNC03440	0.733	0.846	NA	0.759	0.867	0.829	0.622	0.53	0.007	No	0.015	No
CNAG_03892	CNB03800	0.98	0.729	0.828	0.928	0.739	0.834	0.641	0.693	0.021	No	0.021	No
CNAG_04165	CNI03020	0.759	0.827	NA	0.838	0.756	NA	0.72	0.65	0.007	No	0	No
CNAG_02532	CNE00330	0.838	0.775	0.726	0.933	0.744	0.753	0.736	0.585	0	No	0	No
CNAG_01041	CNM00430	0.865	0.818	0.933	0.774	0.761	0.835	0.404	0.456	0	No	0.005	No
CNAG_03721	CNB02190	0.911	0.803	NA	0.853	0.825	NA	0.757	0.585	0	No	0	No
CNAG_06676	CNF03430	0.868	0.829	NA	0.898	0.824	0.764	0.705	0.693	0	No	0	No
CNAG_05773	CNF02050	0.918	0.922	NA	0.88	0.925	0.776	0.637	0.604	0	No	0	No
CNAG_05024	CNL05930	0.867	0.682	0.8	0.872	0.761	0.819	0.585	0.564	0	No	0	No
CNAG_03840	CNB03290	0.871	0.851	0.863	0.867	0.785	0.858	0.656	0.656	0	No	0	No
CNAG_04769	CNJ01980	0.869	0.762	0.71	0.87	0.75	0.728	0.506	0.506	0.547	Yes	0.57	Yes
CNAG_05571	CNH02180	0.859	0.623	NA	0.917	0.65	0.769	0.764	0.764	0.007	No	0.008	No
CNAG_02371	CNE01790	0.888	0.814	NA	0.895	0.841	NA	0.587	0.587	0	No	0	No
CNAG_03841	CNB03300	0.938	0.841	0.835	0.857	0.843	0.779	0.709	0.766	0.006	No	0	No
CNAG_00701	CNA06800	0.871	0.704	0.74	0.832	0.74	NA	0.519	0.606	0	No	0.037	No
CNAG_02264	CNE02820	0.931	0.854	NA	0.922	0.869	NA	0.677	0.729	0.842	Yes	0.849	Yes
CNAG_01086	CND02130	0.773	0.922	NA	0.872	0.755	NA	0.762	0.668	0	No	0	No
CNAG_03114	CNG04470	0.838	0.809	NA	0.831	0.907	NA	0.465	0.465	0	No	0	No
CNAG_03359	CNG02210	0.971	0.838	NA	0.966	0.842	NA	0.656	0.656	0.335	No	0.326	No
CNAG_04801	CNJ02280	0.858	0.735	0.708	0.863	0.766	NA	0.636	0.636	0.316	No	0.601	Yes
CNAG_07444	CNK02430	0.748	0.736	0.886	0.89	0.896	0.881	0.841	0.696	0	No	0.023	No
CNAG_00551	CNA05330	0.846	0.847	0.717	0.859	0.846	0.719	0.702	0.713	0	No	0	No
CNAG_00803	CNA07800	0.837	0.736	0.678	0.851	0.825	0.71	0.617	0.721	0.264	No	0.094	No
CNAG_07815	CNL04885	0.844	0.72	0.766	0.875	0.717	NA	0.74	0.746	0.005	No	0.004	No
CNAG_00023	CNA00160	0.8	0.822	0.946	0.753	0.752	0.902	0.668	0.506	0.074	No	0.066	No
CNAG_01231	CND03500	0.877	0.731	0.819	0.849	0.711	0.821	0.518	0.715	0	No	0	No
CNAG_04507	CNI00490	0.824	0.791	0.789	0.783	0.808	0.809	0.497	0.478	0.006	No	0	No
CNAG_04596	CNJ00350	0.767	0.939	0.753	0.776	0.868	0.792	0.755	0.736	0.02	No	0	No
CNAG_00506	CNA04890	0.818	0.791	NA	0.847	0.742	NA	0.586	0.605	0	No	0	No
CNAG_05170	CNL04560	0.82	0.744	0.754	0.838	0.817	NA	0.762	0.793	0	No	0	No
CNAG_00762	CNA07400	0.924	0.778	NA	0.87	0.714	NA	0.672	0.651	0	No	0	No
CNAG_02742	CNC03670	0.753	0.76	NA	0.787	0.866	NA	0.867	0.825	0.004	No	0.007	No
CNAG_00754	CNA07330	0.879	0.777	NA	0.881	0.777	NA	0.521	0.552	0.003	No	0.003	No
CNAG_02972	CNC04645	0.762	0.794	NA	0.901	0.821	NA	0.402	0.641	0	No	0	No
CNAG_03828	CNB03180	0.764	0.851	NA	0.866	0.703	0.803	0.77	0.577	0.008	No	0.008	No
CNAG_02700	CNK01880	0.886	0.751	0.873	0.892	0.744	0.85	0.663	0.663	0	No	0	No
CNAG_07426	CND04320	0.837	0.859	NA	0.837	0.818	NA	0.506	0.506	0.004	No	0.006	No
CNAG_06075	CNM00840	0.937	0.782	NA	0.964	0.792	NA	0.518	0.617	0	No	0	No
CNAG_05172	CNL04540	0.92	0.782	NA	0.874	0.828	NA	0.781	0.734	0	No	0	No
CNAG_00704	CNA06830	0.771	0.883	0.707	0.834	0.889	0.674	0.666	0.567	0	No	0	No
CNAG_03967	CNB04560	0.925	0.773	NA	0.897	0.872	0.755	0.703	0.786	0	No	0	No
CNAG_03436	CNG01490	0.869	0.745	0.697	0.76	0.833	NA	0.533	0.703	0.411	Yes	0	No
CNAG_01305	CND04250	0.841	0.709	NA	0.801	0.743	NA	0.728	0.709	0	No	0	No
CNAG_06484	CNN02080	0.905	0.852	0.765	0.909	0.863	0.788	0.684	0.684	0	No	0	No
CNAG_07956	CNA05930	0.767	0.843	NA	0.783	0.868	NA	0.742	0.742	0.007	No	0.005	No
CNAG_07836	CNM02580	NA	NA	NA	0.889	0.871	NA	NA	0.585	NA	NA	0.565	Yes
CNAG_04703	CNJ01340	0.686	0.792	0.634	0.837	0.772	NA	0.644	0.656	0.246	No	0.003	No
CNAG_06918	CNK00120	0.946	0.855	0.828	0.911	0.912	0.636	0.65	0.788	0.043	No	0.035	No
CNAG_02115	CNE04220	0.884	0.808	NA	0.96	0.793	NA	0.668	0.616	0.008	No	0.012	No
CNAG_06243	CNM02450	0.826	0.778	0.795	0.886	0.788	0.693	0.724	0.79	0.095	No	0.004	No
CNAG_05715	CNF02590	0.88	0.811	NA	0.936	0.817	NA	0.748	0.748	0.011	No	0.014	No
CNAG_07862	CNJ00140	0.943	0.724	NA	0.897	0.708	NA	0.589	0.635	0.042	No	0.04	No
CNAG_05565	CNH02130	0.82	0.782	NA	0.861	0.779	NA	0.537	0.629	0.01	No	0.003	No
CNAG_05182	CNL04440	0.779	0.865	NA	0.773	0.866	NA	0.822	0.822	0	No	0	No
CNAG_00333	CNA03150	0.758	0.725	0.746	0.76	0.666	0.753	0.848	0.848	0	No	0	No
CNAG_02223	CNE03170	0.927	0.803	0.764	0.917	0.817	NA	0.558	0.61	0.026	No	0.004	No
CNAG_02961	CNC05720	0.926	0.738	NA	0.937	0.736	NA	0.689	0.736	0.042	No	0.072	No
CNAG_01839	CNC03250	0.933	0.748	0.665	0.939	0.697	0.792	0.625	0.625	0.005	No	0.007	No
CNAG_04653	CNJ00905	0.775	0.805	NA	0.838	0.787	0.77	0.701	0.774	0	No	0	No
CNAG_07600	CNC02510	0.93	0.735	0.821	0.901	0.74	0.829	0.653	0.515	0	No	0	No
CNAG_01958	CNK02960	0.933	0.884	NA	0.926	0.717	NA	0.61	0.61	0	No	0	No
CNAG_01813	CNC03020	0.873	0.801	NA	0.874	0.806	NA	0.651	0.651	0.047	No	0.053	No
CNAG_01914	CNK02570	0.816	0.697	0.774	0.941	0.704	0.781	0.686	0.594	0	No	0	No
CNAG_05535	CNH01860	0.82	0.815	NA	0.817	0.821	NA	0.598	0.598	0	No	0	No
CNAG_03281	CNG02940	0.975	0.815	NA	0.952	0.818	NA	0.565	0.657	0.003	No	0.003	No
CNAG_05877	CNF00950	0.871	0.725	NA	0.911	0.679	0.674	0.786	0.778	0.182	No	0.148	No
CNAG_01979	CNK03120	0.922	0.727	NA	0.918	0.809	NA	0.505	0.584	0	No	0	No
CNAG_02657	CNK01460	0.943	0.657	NA	0.942	0.652	NA	0.473	0.473	0	No	0	No
CNAG_05096	CNL05260	0.779	0.685	0.793	0.791	0.716	NA	0.808	0.636	0	No	0	No
CNAG_05528	CNH01790	0.742	0.809	0.788	0.836	0.852	0.832	0.515	0.527	0.046	No	0.082	No
CNAG_01542	CNC06420	0.711	0.683	0.773	0.817	0.917	NA	0.688	0.644	0.058	No	0.19	No
CNAG_03272	CNG03050	0.847	0.679	0.733	0.786	0.864	0.744	0.735	0.718	0	No	0.113	No
CNAG_06436	CNN01620	0.83	0.841	NA	0.851	0.81	NA	0.722	0.76	0.004	No	0.004	No
CNAG_04452	CNI01050	0.881	0.787	NA	0.854	0.745	NA	0.497	0.579	0.781	Yes	0.964	Yes
CNAG_05511	CNH01640	0.86	0.82	NA	0.775	0.702	0.712	0.807	0.474	0.995	Yes	0	No
CNAG_01051	CND01810	0.787	0.739	0.8	0.851	0.721	0.693	0.564	0.564	0	No	0	No
CNAG_03624	CNB01260	0.966	0.852	0.627	0.964	0.851	0.632	0.561	0.561	0.162	No	0.158	No
CNAG_03923	CNB04120	0.76	0.91	NA	0.738	0.91	NA	0.668	0.717	0	No	0	No
CNAG_07645	CNE03115	0.569	0.704	0.747	0.867	0.729	0.79	0.662	0.789	0.351	No	0.003	No
CNAG_06645	CNF03710	0.876	0.733	NA	0.949	0.782	0.721	0.761	0.644	0.307	No	0.301	No
CNAG_06552	CNF04650	0.868	0.925	NA	0.868	0.926	NA	0.706	0.706	0.049	No	0.048	No
CNAG_01923	CNK02640	0.925	0.807	NA	0.958	0.806	NA	0.644	0.656	0.004	No	0.003	No
CNAG_00455	CNA04350	0.809	0.825	NA	0.903	0.869	NA	0.657	0.553	0.009	No	0.006	No
CNAG_07909	CNM01780	0.936	0.685	NA	0.939	0.621	0.765	0.57	0.539	0	No	0	No
CNAG_04841	CNJ02660	0.794	0.771	0.795	0.829	0.794	NA	0.641	0.733	0	No	0	No
CNAG_02382	CNE01670	0.919	0.818	NA	0.915	0.822	NA	0.589	0.558	0	No	0	No
CNAG_01973	CNK03070	0.838	0.737	NA	0.789	0.742	NA	0.679	0.599	0	No	0	No
CNAG_02722	CNC03500	0.9	0.795	0.759	0.889	0.761	NA	0.66	0.568	0	No	0	No
CNAG_02997	CNC06070	0.805	0.806	0.785	0.774	0.813	NA	0.695	0.716	0	No	0	No
CNAG_02862	CNC04800	0.742	0.767	0.894	0.831	0.789	0.801	0.856	0.847	0.022	No	0.031	No
CNAG_03639	CNB01400	0.933	0.873	0.636	0.944	0.826	0.64	0.598	0.697	0	No	0	No
CNAG_03204	CNG03655	0.939	0.664	NA	0.939	0.831	0.75	0.76	0.76	0	No	0.008	No
CNAG_00349	CNA03540	0.848	0.914	NA	0.97	0.785	0.668	0.85	0.641	0.007	No	0.183	No
CNAG_06723	CNB00800	0.852	0.671	NA	0.89	0.669	NA	0.644	0.717	0.752	Yes	0.725	Yes
CNAG_03171	CNG03960	0.934	0.791	0.644	0.874	0.805	0.718	0.622	0.629	0	No	0	No
CNAG_02224	CNE03160	0.89	0.761	NA	0.889	0.757	NA	0.527	0.527	0.641	Yes	0.457	Yes
CNAG_05627	CNH02690	0.913	0.713	0.764	0.907	0.716	0.644	0.65	0.65	0	No	0	No
CNAG_02790	CNC04080	0.83	0.677	NA	0.839	0.709	NA	0.496	0.627	0.003	No	0.006	No
CNAG_04782	CNJ02090	0.836	0.834	0.732	0.85	0.754	NA	0.554	0.804	0	No	0.004	No
CNAG_01828	CNC03150	0.845	0.809	0.818	0.855	0.798	0.738	0.527	0.527	0.003	No	0.003	No
CNAG_06411	CNN01360	0.889	0.746	NA	0.862	0.794	NA	0.592	0.615	0.031	No	0.054	No
CNAG_04193	CNI03310	0.9	0.719	0.723	0.871	0.722	0.834	0.736	0.709	0	No	0	No
CNAG_05652	CNH02900	0.955	0.79	NA	0.834	0.796	NA	0.648	0.537	0	No	0	No
CNAG_03313	CNG02650	0.745	0.748	0.813	0.888	0.848	0.644	0.751	0.584	0.009	No	0	No
CNAG_06912	CNK00190	0.813	0.736	0.768	0.83	0.784	0.858	0.759	0.752	0	No	0	No
CNAG_02060	CNE04750	0.871	0.735	0.89	0.867	0.813	0.67	0.496	0.496	0	No	0.012	No
CNAG_05996	CNM00050	0.722	0.755	NA	0.813	0.768	NA	0.769	0.807	0.005	No	0.006	No
CNAG_02396	CNE01590	0.851	0.756	NA	0.85	0.773	NA	0.687	0.625	0.029	No	0.024	No
CNAG_05997	CNM00060	0.896	0.633	NA	0.889	0.804	NA	0.5	0.5	0.969	Yes	0.965	Yes
CNAG_06756	CNB00450	0.934	0.872	NA	0.892	0.818	0.748	0.565	0.565	0	No	0	No
CNAG_02797	CNC04160	0.865	0.64	NA	0.802	0.71	NA	0.735	0.731	0.004	No	0.003	No
CNAG_05294	CNH03370	0.853	0.834	NA	0.872	0.828	NA	0.797	0.797	0	No	0	No
CNAG_02085	CNE04500	0.846	0.843	NA	0.899	0.707	NA	0.558	0.668	0.006	No	0	No
CNAG_06541	CNF04760	0.95	0.821	0.905	0.91	0.824	NA	0.644	0.644	0	No	0	No
CNAG_02948	CNC05580	0.934	0.809	NA	0.886	0.822	NA	0.761	0.78	0.045	No	0.045	No
CNAG_00054	CNA00430	0.912	0.798	0.761	0.96	0.797	0.806	0.584	0.595	0	No	0.005	No
CNAG_03733	CNB02310	0.858	0.822	0.695	0.77	0.789	0.83	0.687	0.604	0	No	0	No
CNAG_06695	CNF03205	0.827	0.845	0.863	0.792	0.869	0.867	0.598	0.506	0	No	0.009	No
CNAG_01969	CNK03040	0.677	0.869	0.772	0.701	0.819	0.68	0.645	0.657	0.017	No	0.075	No
CNAG_00994	CND01220	0.958	0.82	NA	0.925	0.771	NA	0.5	0.402	0.005	No	0.005	No
CNAG_00736	CNA07140	0.865	0.812	NA	0.858	0.823	NA	0.708	0.708	0	No	0	No
CNAG_02573	CNK00635	0.876	0.733	0.755	0.755	0.775	0.753	0.553	0.709	0	No	0.003	No
CNAG_05455	CNH01170	0.934	0.818	NA	0.931	0.888	NA	0.455	0.455	0	No	0	No
CNAG_02324	CNE02230	0.803	0.773	0.662	0.802	0.701	NA	0.785	0.754	0.008	No	0	No
CNAG_06427	CNN01510	0.925	0.83	NA	0.893	0.905	NA	0.736	0.755	0	No	0	No
CNAG_05653	CNH02910	0.882	0.779	NA	0.883	0.781	NA	0.564	0.564	0	No	0	No
CNAG_03450	CNG01370	0.809	0.842	NA	0.862	0.779	NA	0.758	0.568	0.029	No	0.006	No
CNAG_04816	CNJ02410	0.886	0.754	NA	0.883	0.775	NA	0.67	0.67	0	No	0	No
CNAG_00920	CND00610	0.92	0.737	0.654	0.921	0.756	NA	0.604	0.604	0.055	No	0.072	No
CNAG_02485	CNE00750	0.971	0.691	NA	0.966	0.706	NA	0.656	0.656	0.961	Yes	0.963	Yes
CNAG_06792	CNB00090	0.941	0.816	NA	0.89	0.82	NA	0.759	0.811	0.007	No	0.007	No
CNAG_05289	CNH03420	0.802	0.783	0.842	0.802	0.801	0.763	0.874	0.874	0	No	0	No
CNAG_00177	CNA01650	0.834	0.693	NA	0.827	0.807	NA	0.598	0.598	0	No	0	No
CNAG_03540	CNG00570	0.723	0.775	0.696	0.727	0.868	0.678	0.688	0.688	0.292	No	0.65	Yes
CNAG_05250	CNL03800	0.851	0.7	NA	0.851	0.695	NA	0.579	0.579	0	No	0	No
CNAG_03597	CNB01000	0.83	0.916	0.7	0.841	0.721	0.77	0.702	0.671	0.004	No	0	No
CNAG_02394	CNE01610	0.928	0.746	NA	0.926	0.754	NA	0.625	0.625	0.571	Yes	0.417	Yes
CNAG_02075	CNE04610	0.773	0.818	0.667	0.749	0.879	0.671	0.641	0.641	0.953	Yes	0.818	Yes
CNAG_05885	CNF00880	0.868	0.752	0.824	0.865	0.751	0.809	0.606	0.606	0.007	No	0.018	No
CNAG_01990	CNK03230	0.909	0.665	NA	0.902	0.684	NA	0.474	0.474	0.015	No	0.011	No
CNAG_04068	CNB05510	0.908	NA	NA	0.904	NA	NA	0.462	0.462	0.044	No	0.043	No
CNAG_01680	CNC01910	0.891	0.716	NA	0.904	0.848	0.767	0.61	0.61	0.711	Yes	0.557	Yes
CNAG_03486	CNG01060	0.7	0.951	0.748	0.954	0.706	NA	0.669	0.769	0.003	No	0	No
CNAG_05623	CNH02650	0.883	0.773	NA	0.885	0.759	NA	0.65	0.65	0.008	No	0.007	No
CNAG_01527	CNC06550	0.872	0.711	NA	0.919	0.709	0.785	0.607	0.607	0.049	No	0.036	No
CNAG_04287	CNI02620	0.876	0.719	NA	0.913	0.743	NA	0.755	0.771	0	No	0	No
CNAG_00885	CND00220	0.818	0.796	NA	0.84	0.879	0.782	0.567	0.567	0	No	0	No
CNAG_00318	CNA03030	0.921	0.772	NA	0.914	0.802	NA	0.807	0.76	0	No	0	No
CNAG_02963	CNC05740	0.944	0.833	NA	0.933	0.835	0.736	0.637	0.637	0	No	0	No
CNAG_06612	CNF04070	0.933	0.775	NA	0.96	0.923	NA	0.604	0.616	0.012	No	0.005	No
CNAG_03456	CNG01320	0.884	0.838	0.712	0.88	0.828	0.724	0.653	0.607	0	No	0	No
CNAG_01331	CND04470	0.913	0.782	0.883	0.704	0.759	0.747	0.605	0.869	0.003	No	0.01	No
CNAG_06683	CNF03330	0.757	0.737	0.729	0.781	0.764	NA	0.512	0.715	0	No	0.006	No
CNAG_00050	CNA00390	0.882	0.789	NA	0.92	0.797	NA	0.585	0.576	0	No	0	No
CNAG_01270	CND03900	0.697	0.745	0.79	0.706	0.772	0.799	0.878	0.862	0	No	0	No
CNAG_04684	CNJ01150	0.971	0.736	NA	0.974	0.739	NA	0.564	0.564	0.02	No	0.02	No
CNAG_03082	CNC00090	0.877	0.785	NA	0.834	0.796	NA	0.748	0.757	0	No	0	No
CNAG_04697	CNJ01270	0.756	0.823	NA	0.794	0.866	NA	0.806	0.799	0.003	No	0	No
CNAG_04085	CNB05660	0.855	0.926	0.678	0.784	0.838	0.891	0.684	0.481	0.033	No	0.055	No
CNAG_02300	CNE02450	0.911	0.768	NA	0.868	0.763	0.841	0.601	0.607	0.017	No	0.03	No
CNAG_03507	CNG00860	0.728	0.745	NA	0.879	0.702	NA	0.539	0.736	NA	NA	0.963	Yes
CNAG_01330	CND04460	0.846	0.791	0.677	0.861	0.727	0.647	0.881	0.767	0	No	0	No
CNAG_01141	CND02660	0.82	0.745	0.732	0.804	0.661	0.74	0.847	0.801	0.003	No	0	No
CNAG_05633	CNH02740	0.9	0.862	NA	0.9	0.857	NA	0.564	0.564	0.037	No	0.036	No
CNAG_07372	CNA05980	0.812	0.798	NA	0.912	0.764	NA	0.681	0.657	0.137	No	0.133	No
CNAG_07362	CNA04600	0.924	0.786	NA	0.913	0.804	NA	0.546	0.546	0	No	0	No
CNAG_06526	CNA00010	0.704	0.712	0.873	0.744	0.711	0.93	0.605	0.781	0.048	No	0.043	No
CNAG_04411	CNI01370	0.827	0.791	NA	0.897	0.782	NA	0.598	0.697	0	No	0	No
CNAG_01028	CND01580	0.784	0.875	0.775	0.848	0.778	0.783	0.631	0.684	0	No	0	No
CNAG_01255	CND03720	0.928	0.865	NA	0.817	0.855	NA	0.709	0.761	0	No	0	No
CNAG_03845	CNB03350	0.793	0.655	0.724	0.791	0.796	0.703	0.761	0.776	0	No	0	No
CNAG_01600	CNC01130	0.939	0.739	NA	0.805	0.807	NA	0.653	0.77	0	No	0	No
CNAG_03397	CNG01880	0.838	0.765	NA	0.818	0.778	NA	0.617	0.605	0.09	No	0.114	No
CNAG_01870	CNK02100	0.873	0.821	0.728	0.985	0.837	0.732	0.591	0.598	0.003	No	0.005	No
CNAG_04839	CNJ02640	0.968	0.724	NA	0.937	0.734	NA	0.625	0.644	0	No	0	No
CNAG_06926	CNK00030	0.81	0.78	NA	0.892	0.753	0.737	0.743	0.691	0	No	0	No
CNAG_05036	CNL05810	0.806	0.785	NA	0.799	0.611	NA	0.696	0.696	0	No	0	No
CNAG_00249	CNA02390	0.764	0.923	NA	0.948	0.684	0.838	0.787	0.65	0	No	0	No
CNAG_03856	CNB03460	0.929	0.746	NA	0.922	0.762	0.969	0.629	0.598	0	No	0	No
CNAG_03986	CNB04730	0.877	0.897	NA	0.828	0.889	NA	0.61	0.61	0.431	Yes	0.432	Yes
CNAG_00768	CNA07460	0.963	0.786	NA	0.947	0.788	NA	0.672	0.764	0.313	No	0.256	No
CNAG_05234	CNL03940	0.873	0.766	NA	0.851	0.792	NA	0.687	0.641	0.004	No	0.003	No
CNAG_06561	CNF04560	0.799	0.842	0.868	0.886	0.757	0.725	0.707	0.656	0	No	0	No
CNAG_01387	CND04990	0.896	0.902	NA	0.91	0.909	NA	0.689	0.669	0.004	No	0.003	No
CNAG_05799	CNF01800	0.84	0.749	NA	0.836	0.721	NA	0.641	0.641	0	No	0	No
CNAG_06983	CNC00040	0.797	0.757	NA	0.751	0.781	NA	0.629	0.629	0	No	0.004	No
CNAG_04222	CNI03640	0.813	0.734	NA	0.859	0.746	NA	0.486	0.498	0.105	No	0.112	No
CNAG_02216	CNE03250	0.821	0.878	0.791	0.794	0.809	0.791	0.75	0.758	0	No	0	No
CNAG_04647	CNJ00850	0.838	0.716	NA	0.861	0.696	NA	0.736	0.736	0	No	0	No
CNAG_00165	CNA01530	0.686	0.919	NA	0.699	0.922	NA	0.952	0.952	0.557	Yes	0.299	No
CNAG_03976	CNB04650	0.926	0.848	NA	0.903	0.849	0.771	0.665	0.703	0	No	0	No
CNAG_01514	CNC06675	NA	NA	NA	0.763	0.805	0.799	NA	0.697	NA	NA	0.015	No
CNAG_01881	CNK02220	0.918	0.828	NA	0.877	0.821	NA	0.607	0.485	0.946	Yes	0.963	Yes
CNAG_01576	CNC00910	0.931	0.959	NA	0.972	0.966	0.795	0.462	0.481	0.008	No	0.008	No
CNAG_06670	CNF03490	0.8	0.801	NA	0.873	0.806	NA	0.487	0.382	0	No	0	No
CNAG_02805	CNC04230	0.961	0.785	0.771	0.871	0.78	0.797	0.601	0.613	0.038	No	0.025	No
CNAG_01023	CND01530	0.874	0.717	NA	0.863	0.723	NA	0.618	0.618	0.012	No	0.012	No
CNAG_04570	CNJ00100	0.863	0.764	NA	0.871	0.688	NA	0.558	0.656	0	No	0	No
CNAG_04093	CNB05720	0.792	0.65	NA	0.814	0.601	NA	0.648	0.648	0	No	0	No
CNAG_00660	CNA06390	0.82	0.806	NA	0.852	0.803	NA	0.644	0.729	0.019	No	0.003	No
CNAG_02749	CNC03710	0.797	0.855	NA	0.827	0.823	NA	0.671	0.717	0	No	0	No
CNAG_00180	CNA01690	0.895	0.968	0.826	0.868	0.895	NA	0.474	0.638	0	No	0	No
CNAG_03101	CNG04630	0.811	0.829	0.829	0.774	0.852	0.67	0.715	0.748	0	No	0	No
CNAG_03288	CNG02870	0.79	0.754	NA	0.793	0.768	NA	0.578	0.585	0	No	0	No
CNAG_00517	CNA04990	0.692	0.925	0.754	0.669	0.939	0.706	0.631	0.643	0	No	0.016	No
CNAG_02753	CNC03750	0.956	0.874	NA	0.892	0.871	NA	0.717	0.717	0.016	No	0.018	No
CNAG_06067	CNM00770	0.932	0.706	NA	0.94	0.735	0.716	0.539	0.585	0	No	0	No
CNAG_04544	CNI00120	0.851	0.86	NA	0.854	0.846	NA	0.72	0.803	0	No	0	No
CNAG_03869	CNB03580	0.696	0.799	0.799	0.705	0.77	0.718	0.454	0.598	0	No	0	No
CNAG_01121	CND02460	0.882	0.722	0.89	0.918	0.747	0.938	0.748	0.739	0.005	No	0.009	No
CNAG_03159	CNG04080	0.945	0.727	NA	0.909	0.718	NA	0.705	0.745	0	No	0	No
CNAG_01704	CNC02120	0.883	0.76	NA	0.86	0.902	0.834	0.641	0.764	0	No	0.014	No
CNAG_03415	CNG01690	0.747	0.76	NA	0.817	0.737	NA	0.505	0.558	0	No	0	No
CNAG_00854	CNA08290	0.955	0.841	NA	0.956	0.746	NA	0.702	0.702	0.018	No	0.009	No
CNAG_00088	CNA00780	0.892	0.833	NA	0.96	0.829	NA	0.709	0.617	0.115	No	0.047	No
CNAG_05465	CNH01270	0.932	0.753	NA	0.923	0.75	NA	0.455	0.455	0	No	0	No
CNAG_07114	CNA02690	0.843	0.759	NA	0.832	0.761	NA	0.645	0.553	0.003	No	0	No
CNAG_06331	CNN00590	0.833	0.916	0.741	0.762	0.873	0.736	0.546	0.692	0.008	No	0.005	No
CNAG_03586	CNG00190	0.862	0.858	NA	0.847	0.855	NA	0.828	0.793	0.06	No	0.061	No
CNAG_05003	CNL06120	0.822	0.75	0.879	0.819	0.753	0.897	0.712	0.773	0.03	No	0	No
CNAG_01241	CND03590	0.767	0.811	NA	0.772	0.815	NA	0.749	0.749	0	No	0	No
CNAG_06750	CNB00530	0.938	0.729	NA	0.953	0.726	NA	0.578	0.67	0.031	No	0.032	No
CNAG_00822	CNA07990	0.87	0.745	NA	0.833	0.762	NA	0.469	0.522	0	No	0	No
CNAG_02020	CNE05140	0.876	0.786	NA	0.958	0.863	0.817	0.546	0.598	0.015	No	0.02	No
CNAG_02979	CNC05880	0.773	0.865	0.817	0.938	0.735	NA	0.625	0.728	0.101	No	0.99	Yes
CNAG_01431	CND05440	0.908	0.822	NA	0.908	0.776	NA	0.767	0.767	0	No	0	No
CNAG_05693	CNF02810	0.793	0.673	0.681	0.755	0.679	0.803	0.629	0.617	0.006	No	0	No
CNAG_01614	CNC01280	0.922	0.753	NA	0.888	0.763	NA	0.549	0.636	0	No	0	No
