# scores_kozak_Ca.txt
# Scores of ATG context against Kozak sequence, Candida albicans
# Kozak sequence derived from 400 highest-translated genes by RPF
#
# Gene: Ca systematic gene name
# aATG.scorekn: score of annotated ATG against narrow Kozak sequence (NNNNATG)
# d1.scorekn: score of 1st downstream ATG against narrow
# xx.scorekw: analogous scores against wide Kozak sequence (NNNNNNNNNNATG)
#
# Edward Wallace, Oct 2018
Gene	aATG.scorekn	d1.scorekn	aATG.scorekw	d1.scorekw	d1vsan	d1vsaw
C3_05660C_A	0.932	0.82	0.915	0.748	-0.113	-0.167
C3_05670C_A	0.832	0.914	0.786	0.834	0.081	0.048
C3_05680W_A	0.913	0.75	0.868	0.813	-0.163	-0.055
C3_05700W_A	0.886	0.859	0.88	0.815	-0.028	-0.065
C3_05710W_A	0.878	0.932	0.885	0.895	0.054	0.01
C3_05720C_A	0.798	0.905	0.788	0.93	0.106	0.142
C3_05730C_A	0.889	0.887	0.833	0.829	-0.002	-0.004
C3_05740C_A	0.998	0.877	0.95	0.836	-0.121	-0.114
C3_05750C_A	0.887	0.914	0.783	0.932	0.026	0.149
C3_05760W_A	0.998	0.791	0.922	0.794	-0.207	-0.128
C3_05770C_A	0.967	0.905	0.944	0.888	-0.062	-0.056
C3_05780C_A	0.959	0.843	0.901	0.798	-0.116	-0.103
C3_05790C_A	0.942	0.824	0.891	0.832	-0.118	-0.06
C3_05800W_A	0.816	0.839	0.719	NA	0.022	NA
C3_05810C_A	0.952	0.945	0.92	0.883	-0.007	-0.036
C3_05830W_A	0.977	0.887	0.862	0.884	-0.089	0.022
C3_05840W_A	0.913	0.788	0.852	0.743	-0.125	-0.108
C3_05850W_A	0.954	0.825	0.858	0.874	-0.129	0.015
C3_05860C_A	0.959	1	0.897	0.888	0.041	-0.009
C3_05870C_A	0.792	0.886	0.744	0.803	0.094	0.059
C3_05880C_A	0.977	0.914	0.955	0.876	-0.063	-0.079
C3_05890W_A	0.878	0.917	0.812	0.902	0.039	0.09
C3_05900W_A	0.952	0.821	0.846	0.757	-0.132	-0.089
C3_05910W_A	0.945	0.913	0.818	0.876	-0.032	0.058
C3_05920W_A	1	0.835	0.983	0.803	-0.165	-0.18
C3_05930W_A	0.887	0.866	0.851	0.807	-0.022	-0.044
C3_05940C_A	0.895	0.847	0.863	0.855	-0.049	-0.007
C3_05950W_A	0.824	0.752	0.771	0.782	-0.072	0.011
C3_05960W_A	0.855	0.837	0.884	0.743	-0.018	-0.141
C3_05970C_A	0.843	0.95	0.772	0.91	0.107	0.137
C3_05980C_A	0.954	0.815	0.956	0.799	-0.139	-0.157
C3_05990C_A	0.857	0.95	0.814	0.924	0.093	0.11
C3_06000W_A	0.871	0.954	0.847	0.886	0.083	0.04
C3_06010W_A	0.968	0.775	0.933	0.694	-0.193	-0.24
C3_06020W_A	0.959	0.769	0.901	0.786	-0.19	-0.115
C3_06030W_A	0.912	0.792	0.904	0.751	-0.119	-0.153
C3_06040W_A	0.765	NA	0.715	NA	NA	NA
C3_06050C_A	0.917	0.912	0.892	0.857	-0.005	-0.036
C3_06060W_A	0.968	0.952	0.915	0.888	-0.015	-0.027
C3_06070C_A	0.917	0.925	0.898	0.944	0.008	0.045
C3_06080W_A	0.811	0.889	0.843	0.885	0.077	0.042
C3_06090C_A	0.832	0.866	0.74	0.819	0.033	0.078
C3_06100C_A	0.846	0.889	0.875	0.839	0.043	-0.037
C3_06110C_A	0.807	0.889	0.78	0.888	0.082	0.108
C3_06120C_A	0.879	0.834	0.832	0.767	-0.045	-0.064
C3_06130W_A	0.733	0.784	0.685	0.763	0.05	0.078
C3_06140W_A	0.936	0.887	0.884	0.789	-0.049	-0.095
C3_06150W_A	1	0.91	0.859	0.87	-0.09	0.011
C3_06160C_A	0.948	0.977	0.931	0.872	0.029	-0.059
C3_06170C_A	0.889	0.991	0.832	0.958	0.102	0.125
C3_06180C_A	1	0.733	0.948	0.67	-0.267	-0.277
C3_06190C_A	0.912	0.91	0.885	0.833	-0.002	-0.052
C3_06200C_A	0.94	0.805	0.825	0.815	-0.134	-0.01
C3_06210C_A	0.792	0.7	0.766	0.654	-0.093	-0.112
C3_06220C_A	0.75	0.895	0.73	0.793	0.146	0.063
C3_06230W_A	0.932	0.853	0.942	0.799	-0.079	-0.144
C3_06240C_A	1	0.943	0.932	0.936	-0.057	0.005
C3_06250W_A	0.967	0.843	0.881	0.81	-0.124	-0.071
C3_06260C_A	0.854	0.829	0.812	0.779	-0.025	-0.033
C3_06270C_A	0.796	0.733	0.804	0.66	-0.063	-0.144
C3_06280W_A	0.847	0.917	0.833	0.915	0.07	0.082
C3_06290W_A	0.827	0.783	0.805	0.784	-0.044	-0.022
C3_06300W_A	0.991	0.766	0.957	0.762	-0.225	-0.195
C3_06310C_A	0.912	0.722	0.834	0.736	-0.189	-0.098
C3_06320W_A	0.829	0.807	0.829	0.808	-0.022	-0.022
C3_06330W_A	1	0.733	0.948	0.67	-0.267	-0.277
C3_06340W_A	0.975	0.747	0.918	0.69	-0.227	-0.228
C3_06350W_A	0.889	0.991	0.832	0.958	0.102	0.125
C3_06360C_A	0.877	0.78	0.84	0.67	-0.097	-0.171
C3_06370C_A	0.827	0.781	0.822	0.722	-0.046	-0.1
C3_06380W_A	0.948	0.977	0.931	0.872	0.029	-0.059
C3_06400C_A	0.889	1	0.853	0.951	0.111	0.097
C3_06410C_A	0.88	0.798	0.847	0.711	-0.082	-0.137
C3_06420C_A	0.831	1	0.79	0.878	0.169	0.087
C3_06430W_A	0.968	0.942	0.847	0.906	-0.026	0.059
C3_06440W_A	0.759	0.977	0.735	0.746	0.217	0.011
C3_06450W_A	0.793	0.735	0.796	0.764	-0.058	-0.032
C3_06470W_A	0.847	0.719	0.838	0.686	-0.128	-0.152
C3_06480C_A	0.998	0.783	0.966	0.767	-0.215	-0.2
C3_06490W_A	0.853	0.968	0.796	0.938	0.115	0.142
C3_06500W_A	0.926	0.895	0.936	0.796	-0.031	-0.14
C3_06510C_A	0.94	1	0.922	0.928	0.06	0.006
C3_06520C_A	0.945	0.784	0.897	0.75	-0.161	-0.147
C3_06530W_A	0.833	0.742	0.799	0.77	-0.091	-0.029
C3_06540C_A	0.733	0.765	0.673	NA	0.032	NA
C3_06550C_A	0.855	0.88	0.881	0.841	0.025	-0.04
C3_06560W_A	0.942	0.813	0.932	0.805	-0.128	-0.128
C3_06570C_A	0.825	0.825	0.811	0.859	0	0.048
C3_06580W_A	0.918	0.834	0.867	0.839	-0.084	-0.028
C3_06590W_A	1	0.796	0.963	0.811	-0.204	-0.152
C3_06600C_A	0.991	0.701	0.871	0.751	-0.29	-0.121
C3_06610W_A	0.952	0.796	0.896	0.833	-0.156	-0.064
C3_06620W_A	0.775	0.856	0.81	0.881	0.081	0.071
C3_06630W_A	0.833	0.959	0.68	NA	0.126	NA
C3_06640W_A	0.734	0.998	0.767	0.886	0.264	0.119
C3_06650C_A	0.862	0.746	0.831	NA	-0.116	NA
C3_06660C_A	0.813	0.819	0.824	0.818	0.005	-0.007
C3_06670C_A	0.943	0.886	0.906	0.909	-0.057	0.004
C3_06680C_A	0.814	0.765	0.766	0.771	-0.048	0.006
C3_06690C_A	0.998	0.943	0.911	0.824	-0.055	-0.086
C3_06700C_A	0.95	0.839	0.894	0.78	-0.111	-0.114
C3_06710W_A	0.765	0.885	0.687	0.886	0.12	0.199
C3_06720W_A	0.88	0.932	0.83	0.814	0.052	-0.016
C3_06730W_A	0.959	0.781	0.905	0.763	-0.178	-0.142
C3_06740W_A	0.825	0.885	0.791	0.813	0.06	0.022
C3_06750W_A	0.975	0.95	0.965	0.925	-0.025	-0.039
C3_06760W_A	0.991	0.841	0.958	0.791	-0.15	-0.166
C3_06770W_A	0.918	0.863	0.842	0.799	-0.055	-0.043
C3_06780C_A	0.932	0.917	0.926	0.857	-0.016	-0.07
C3_06790W_A	0.932	0.863	0.919	0.782	-0.069	-0.136
C3_06800C_A	0.841	0.853	0.853	0.777	0.012	-0.076
C3_06810W_A	0.889	0.877	0.861	0.778	-0.012	-0.083
C3_06820C_A	0.959	0.825	0.953	0.774	-0.134	-0.178
C3_06830C_A	0.914	0.7	0.875	0.765	-0.214	-0.11
C3_06850W_A	0.942	0.839	0.919	0.78	-0.103	-0.139
C3_06860C_A	1	0.821	0.947	0.762	-0.179	-0.185
C3_06870W_A	0.998	0.853	0.992	0.75	-0.145	-0.242
C3_06880W_A	0.887	0.805	0.867	0.783	-0.082	-0.085
C3_06890W_A	0.968	0.864	0.94	0.781	-0.104	-0.16
C3_06900W_A	0.913	0.834	0.871	0.826	-0.08	-0.045
C3_06910C_A	0.909	0.852	0.793	0.872	-0.057	0.079
C3_06920W_A	0.998	0.733	0.936	0.684	-0.265	-0.252
C3_06940W_A	0.821	0.691	0.788	0.677	-0.13	-0.112
C3_06950W_A	0.82	0.975	0.855	0.925	0.155	0.07
C3_06970W_A	0.932	0.76	0.919	0.699	-0.173	-0.22
C3_06980W_A	0.843	0.895	0.841	0.836	0.053	-0.005
C3_06990W_A	0.81	0.922	0.851	0.878	0.113	0.028
C3_07000W_A	0.943	0.774	0.87	0.745	-0.17	-0.125
C3_07010W_A	0.824	0.954	0.802	0.921	0.13	0.119
C3_07020W_A	0.95	0.738	0.821	NA	-0.212	NA
C3_07030C_A	0.873	0.82	0.888	0.726	-0.053	-0.162
C3_07040C_A	0.879	0.792	0.821	0.776	-0.087	-0.045
C3_07050W_A	0.959	0.926	0.916	0.873	-0.033	-0.043
C3_07060W_A	0.909	0.821	0.869	0.774	-0.088	-0.095
C3_07070C_A	0.912	0.747	0.821	0.733	-0.164	-0.089
C3_07080W_A	0.886	0.811	0.855	0.808	-0.075	-0.047
C3_07090W_A	0.991	0.811	0.987	0.826	-0.179	-0.161
C3_07100C_A	0.838	0.866	0.841	0.881	0.027	0.039
C3_07110W_A	0.806	0.932	0.846	0.868	0.126	0.022
C3_07120W_A	0.94	0.831	0.873	0.78	-0.109	-0.093
C3_07130W_A	0.95	0.885	0.953	0.759	-0.064	-0.195
C3_07140C_A	0.94	0.95	0.924	0.855	0.01	-0.068
C3_07150C_A	1	0.863	0.961	0.858	-0.137	-0.103
C3_07160W_A	0.959	0.88	0.926	0.841	-0.08	-0.085
C3_07170C_A	0.855	0.877	0.852	0.817	0.022	-0.035
C3_07180C_A	0.918	0.87	0.887	0.885	-0.048	-0.002
C3_07200C_A	0.887	0.912	0.876	0.815	0.025	-0.062
C3_07210W_A	0.945	0.839	0.919	0.844	-0.106	-0.075
C3_07220C_A	0.918	0.887	0.851	0.872	-0.031	0.021
C3_07230W_A	0.912	0.834	0.912	0.78	-0.078	-0.131
C3_07240W_A	0.795	0.806	0.826	0.749	0.011	-0.077
C3_07250W_A	0.886	0.843	0.833	0.785	-0.044	-0.049
C3_07260C_A	0.866	0.803	0.791	NA	-0.063	NA
C3_07270C_A	0.91	0.863	0.869	0.864	-0.047	-0.005
C3_07280C_A	0.94	0.991	0.935	0.875	0.051	-0.06
C3_07290W_A	0.774	0.863	0.79	0.812	0.09	0.022
C3_07300W_A	0.959	0.945	0.915	0.887	-0.014	-0.028
C3_07310C_A	0.895	0.867	0.752	0.783	-0.029	0.031
C3_07320W_A	0.913	0.867	0.859	0.798	-0.047	-0.061
C3_07330W_A	0.94	0.991	0.874	0.856	0.051	-0.018
C3_07340W_A	0.95	0.998	0.895	0.951	0.049	0.056
C3_07350W_A	0.936	0.82	0.883	0.762	-0.116	-0.121
C3_07360W_A	0.952	0.853	0.845	0.792	-0.099	-0.053
C3_07370W_A	0.903	0.775	0.897	0.765	-0.128	-0.132
C3_07380W_A	0.853	0.945	0.801	0.739	0.092	-0.062
C3_07390C_A	0.975	0.855	0.927	0.765	-0.12	-0.163
C3_07400W_A	0.932	0.75	0.87	0.766	-0.183	-0.105
C3_07410C_A	0.909	0.862	0.879	0.829	-0.048	-0.05
C3_07420W_A	0.967	0.863	0.941	0.78	-0.103	-0.162
C3_07430W_A	0.873	0.88	0.84	0.868	0.007	0.028
C3_07440W_A	0.998	0.867	0.936	0.835	-0.132	-0.1
C3_07450C_A	0.945	0.796	0.906	NA	-0.149	NA
C3_07460W_A	0.848	0.886	0.861	0.807	0.038	-0.054
C3_07470W_A	0.848	0.775	0.851	0.716	-0.073	-0.135
C3_07480W_A	0.942	0.807	0.905	NA	-0.134	NA
C3_07490W_A	0.968	0.807	0.866	0.819	-0.161	-0.047
C3_07500W_A	0.904	0.775	0.921	0.74	-0.129	-0.181
C3_07540C_A	0.866	0.895	0.823	0.893	0.03	0.07
C3_07550C_A	0.975	0.888	0.861	0.818	-0.087	-0.043
C3_07560W_A	0.954	0.903	0.923	0.885	-0.051	-0.039
C3_07570C_A	0.975	0.959	0.778	0.896	-0.015	0.118
C3_07580W_A	0.943	0.82	0.924	0.818	-0.124	-0.105
C3_07590W_A	0.945	0.998	0.897	0.93	0.053	0.033
C3_07600W_A	0.968	0.863	0.915	0.829	-0.104	-0.086
C3_07610W_A	0.88	0.764	0.893	NA	-0.116	NA
C3_07620C_A	0.793	0.991	0.799	0.975	0.198	0.176
C3_07630C_A	0.977	0.945	0.872	0.943	-0.032	0.071
C3_07640C_A	0.948	0.793	0.904	0.78	-0.155	-0.124
C3_07650C_A	0.76	0.894	0.718	0.797	0.134	0.079
C3_07660W_A	0.854	0.75	0.791	0.733	-0.104	-0.058
C3_07670W_A	0.914	0.831	0.847	0.759	-0.083	-0.088
C3_07680W_A	0.829	0.918	0.828	0.902	0.09	0.074
C3_07690C_A	0.889	0.877	0.859	0.839	-0.012	-0.02
C3_07700W_A	0.871	0.977	0.88	0.91	0.106	0.03
C3_07710W_A	0.839	0.816	0.795	0.754	-0.023	-0.041
C3_07720C_A	0.811	0.847	0.731	0.705	0.035	-0.026
C3_07730W_A	0.942	0.735	0.9	0.705	-0.207	-0.195
C3_07740W_A	0.853	0.853	0.757	0.703	0	-0.054
C3_07750W_A	0.834	0.75	0.829	0.721	-0.084	-0.108
C3_07760C_A	0.771	0.864	0.792	0.789	0.093	-0.003
C3_07770C_A	0.827	0.853	0.756	0.896	0.026	0.14
C3_07780C_A	0.91	0.905	0.879	0.854	-0.005	-0.025
C3_07790W_A	0.88	0.905	0.783	0.887	0.024	0.104
C3_07800C_A	0.977	0.688	0.905	0.679	-0.289	-0.226
C3_07810C_A	0.886	0.806	0.851	0.726	-0.08	-0.125
C3_07820W_A	0.959	0.852	0.932	0.763	-0.107	-0.169
C3_07830W_A	0.968	0.803	0.899	0.78	-0.165	-0.119
C3_07840C_A	0.902	0.864	0.826	0.78	-0.038	-0.046
C3_07850W_A	0.936	0.943	0.837	0.88	0.007	0.043
C3_07860C_A	0.801	0.843	0.82	0.822	0.042	0.002
C3_07870W_A	0.792	0.998	0.795	0.799	0.206	0.004
C3_07880C_A	0.967	0.857	0.95	0.856	-0.109	-0.094
C3_07890W_A	0.967	0.796	0.961	0.744	-0.17	-0.216
C3_07900C_A	0.831	0.856	0.699	0.753	0.024	0.054
C3_07910W_A	0.948	0.81	0.947	0.842	-0.138	-0.105
C3_07920W_A	0.948	0.81	0.947	0.842	-0.138	-0.105
C3_07930C_A	0.857	0.839	0.865	0.824	-0.018	-0.041
C3_07940W_A	0.967	0.785	0.923	0.762	-0.182	-0.161
C3_07950C_A	0.936	0.887	0.902	0.821	-0.049	-0.081
C3_07970C_A	0.943	0.91	0.851	0.835	-0.033	-0.016
C3_07980C_A	0.824	NA	0.772	NA	NA	NA
C4_00010W_A	0.943	0.91	0.851	0.835	-0.033	-0.016
C4_00020W_A	0.866	0.864	0.798	0.819	-0.002	0.021
C4_00030C_A	0.832	0.824	0.754	0.774	-0.008	0.02
C4_00040W_A	0.832	0.886	0.824	0.801	0.054	-0.023
C4_00050W_A	0.975	0.855	0.91	0.858	-0.12	-0.052
C4_00060W_A	0.977	0.829	0.867	0.784	-0.148	-0.083
C4_00070C_A	0.913	0.905	0.842	0.829	-0.009	-0.012
C4_00080C_A	0.887	0.824	0.857	0.814	-0.063	-0.043
C4_00090W_A	0.943	0.803	0.908	0.827	-0.141	-0.081
C4_00100C_A	0.793	0.91	0.788	0.888	0.117	0.101
C4_00110C_A	0.967	0.942	0.934	0.935	-0.025	0.001
C4_00120W_A	0.922	0.87	0.857	0.792	-0.052	-0.065
C4_00130W_A	0.952	0.894	0.936	0.861	-0.059	-0.076
C4_00140C_A	0.88	0.825	0.849	0.842	-0.055	-0.007
C4_00150C_A	0.912	0.894	0.868	0.767	-0.018	-0.101
C4_00160C_A	0.877	0.762	0.846	0.643	-0.115	-0.203
C4_00170W_A	0.945	NA	0.925	NA	NA	NA
C4_00180W_A	0.838	0.886	0.803	NA	0.048	NA
C4_00190W_A	0.889	0.94	0.826	0.873	0.051	0.047
C4_00200C_A	0.952	0.801	0.935	0.778	-0.151	-0.157
C4_00210W_A	0.847	0.877	0.769	0.877	0.03	0.107
C4_00220C_A	0.959	0.834	0.926	0.749	-0.126	-0.177
C4_00230W_A	0.691	0.816	0.679	0.803	0.125	0.124
C4_00240C_A	0.959	0.821	0.948	0.781	-0.139	-0.167
C4_00250W_A	0.853	0.8	0.786	0.789	-0.054	0.003
C4_00260W_A	0.926	0.822	0.919	0.829	-0.104	-0.09
C4_00270W_A	0.948	0.824	0.91	0.797	-0.124	-0.114
C4_00280W_A	0.94	0.918	0.94	0.844	-0.022	-0.095
C4_00290C_A	0.942	0.95	0.922	0.885	0.008	-0.037
C4_00300C_A	0.959	0.75	0.965	0.664	-0.209	-0.301
C4_00310C_A	0.903	0.917	0.825	0.912	0.014	0.087
C4_00320C_A	0.921	0.752	0.931	0.724	-0.168	-0.206
C4_00330C_A	0.95	0.824	0.872	0.795	-0.126	-0.077
C4_00340W_A	0.733	0.741	0.647	NA	0.007	NA
C4_00350W_A	0.801	0.945	0.804	0.784	0.143	-0.02
C4_00360C_A	0.839	0.889	0.833	0.826	0.05	-0.008
C4_00370W_A	0.796	0.833	0.739	0.84	0.037	0.101
C4_00380W_A	0.942	0.833	0.883	0.773	-0.109	-0.11
C4_00390W_A	0.909	0.843	0.91	0.827	-0.066	-0.083
C4_00400W_A	0.936	0.83	0.88	0.814	-0.106	-0.066
C4_00410W_A	0.975	0.843	0.846	0.754	-0.132	-0.091
C4_00420C_A	0.829	0.801	0.818	0.823	-0.027	0.005
C4_00430W_A	0.918	0.775	0.919	0.73	-0.143	-0.189
C4_00440C_A	0.968	0.659	0.92	0.626	-0.308	-0.294
C4_00450C_A	0.95	NA	0.834	NA	NA	NA
C4_00460C_A	0.755	0.824	0.729	0.795	0.069	0.066
C4_00470C_A	0.912	0.936	0.834	0.842	0.024	0.008
C4_00480W_A	0.968	0.857	0.939	0.74	-0.111	-0.199
C4_00490W_A	0.916	0.894	0.839	0.817	-0.023	-0.022
C4_00500W_A	0.914	0.879	0.905	0.842	-0.035	-0.064
C4_00510C_A	0.998	0.877	0.955	0.79	-0.121	-0.165
C4_00520W_A	0.959	0.871	0.888	0.795	-0.088	-0.093
C4_00530C_A	0.945	0.968	0.831	0.869	0.022	0.038
C4_00540C_A	0.959	0.783	0.879	0.743	-0.177	-0.136
C4_00560C_A	0.877	0.846	0.808	0.807	-0.032	-0.002
C4_00570C_A	0.942	0.854	0.953	0.831	-0.088	-0.122
C4_00580W_A	0.912	0.959	0.841	0.911	0.047	0.071
C4_00590C_A	0.912	0.829	0.875	0.807	-0.083	-0.068
C4_00600C_A	0.834	0.917	0.806	0.906	0.083	0.1
C4_00610W_A	0.792	0.82	0.74	0.726	0.027	-0.014
C4_00620C_A	0.998	0.756	0.954	0.78	-0.243	-0.174
C4_00630C_A	0.843	0.852	0.84	0.779	0.009	-0.061
C4_00640W_A	0.888	0.925	0.887	0.852	0.036	-0.035
C4_00650W_A	0.912	0.861	0.927	0.753	-0.051	-0.175
C4_00660W_A	0.952	1	0.925	0.871	0.048	-0.054
C4_00670W_A	1	0.8	0.927	0.723	-0.2	-0.203
C4_00680W_A	0.902	0.847	0.86	0.868	-0.054	0.008
C4_00690C_A	0.916	0.894	0.839	0.817	-0.023	-0.022
C4_00700C_A	0.83	0.806	0.817	0.789	-0.023	-0.027
C4_00710W_A	0.815	0.926	0.799	0.886	0.111	0.087
C4_00720W_A	0.918	0.83	0.894	0.791	-0.088	-0.103
C4_00730C_A	0.975	NA	0.956	NA	NA	NA
C4_00740W_A	0.959	0.824	0.902	0.785	-0.135	-0.117
C4_00750C_A	0.913	0.783	0.939	0.795	-0.13	-0.144
C4_00760W_A	0.95	NA	0.852	NA	NA	NA
C4_00770C_A	0.94	0.752	0.909	0.761	-0.188	-0.148
C4_00780C_A	0.829	1	0.853	0.912	0.171	0.059
C4_00790C_A	0.967	0.805	0.931	0.812	-0.161	-0.118
C4_00800W_A	0.909	0.846	0.912	0.818	-0.063	-0.094
C4_00810C_A	0.807	0.781	0.834	0.8	-0.026	-0.034
C4_00820W_A	0.807	0.912	0.807	0.823	0.105	0.016
C4_00830W_A	0.977	0.743	0.966	0.718	-0.233	-0.247
C4_00840W_A	0.773	0.936	0.756	0.849	0.163	0.093
C4_00850C_A	0.967	0.856	0.914	0.792	-0.11	-0.122
C4_00860C_A	0.968	0.788	0.914	0.775	-0.179	-0.139
C4_00880W_A	0.894	0.879	0.815	0.864	-0.015	0.049
C4_00890W_A	0.803	0.846	0.795	0.814	0.043	0.019
C4_00910C_A	0.885	0.932	0.863	0.885	0.047	0.022
C4_00920C_A	0.871	0.765	0.852	0.748	-0.105	-0.104
C4_00940W_A	0.839	0.877	0.847	0.781	0.038	-0.066
C4_00950C_A	0.833	0.821	0.81	0.803	-0.012	-0.007
C4_00960W_A	0.945	0.877	0.924	0.88	-0.068	-0.045
C4_00970C_A	0.905	0.829	0.856	0.833	-0.076	-0.023
C4_00980C_A	0.904	0.821	0.838	0.844	-0.083	0.006
C4_00990W_A	0.873	0.912	0.868	0.925	0.039	0.057
C4_01000C_A	0.991	0.775	0.991	0.778	-0.216	-0.213
C4_01010C_A	0.909	0.816	0.913	0.798	-0.093	-0.115
C4_01020C_A	0.867	0.889	0.814	0.888	0.022	0.075
C4_01030W_A	0.772	0.75	0.694	NA	-0.022	NA
C4_01050C_A	0.95	0.793	0.89	0.791	-0.157	-0.099
C4_01060W_A	0.959	0.959	0.94	0.935	0	-0.005
C4_01070W_A	1	0.882	0.946	0.878	-0.118	-0.068
C4_01080W_A	0.945	0.783	0.909	0.794	-0.162	-0.115
C4_01090C_A	0.841	0.914	0.85	0.835	0.073	-0.015
C4_01100C_A	0.977	0.863	0.943	0.811	-0.113	-0.131
C4_01120C_A	0.82	0.905	0.832	0.906	0.085	0.073
C4_01130C_A	0.905	0.889	0.891	0.84	-0.016	-0.051
C4_01140C_A	0.807	NA	0.803	NA	NA	NA
C4_01150W_A	0.942	0.82	0.867	0.764	-0.122	-0.103
C4_01160W_A	0.998	0.854	0.988	0.749	-0.144	-0.239
C4_01170C_A	0.912	0.913	0.899	0.864	0.001	-0.034
C4_01180W_A	0.991	0.879	0.888	0.855	-0.112	-0.034
C4_01190W_A	0.894	0.807	0.894	0.745	-0.087	-0.149
C4_01200C_A	0.977	0.796	0.938	0.827	-0.18	-0.111
C4_01220C_A	0.959	0.803	0.908	0.728	-0.157	-0.18
C4_01230C_A	0.905	0.926	0.853	0.894	0.022	0.04
C4_01240C_A	0.889	0.945	0.877	0.909	0.056	0.032
C4_01250W_A	0.856	0.918	0.836	0.879	0.062	0.043
C4_01260W_A	1	0.762	0.961	0.812	-0.238	-0.149
C4_01270W_A	0.943	0.827	0.939	0.81	-0.116	-0.129
C4_01280C_A	0.945	0.783	0.909	0.693	-0.161	-0.216
C4_01290W_A	0.968	0.975	0.948	0.898	0.007	-0.05
C4_01300W_A	0.909	0.879	0.88	0.795	-0.03	-0.084
C4_01310W_A	0.831	0.746	0.753	NA	-0.086	NA
C4_01320C_A	0.88	0.914	0.891	0.841	0.034	-0.05
C4_01330W_A	0.918	0.82	0.893	0.787	-0.099	-0.106
C4_01340W_A	0.945	0.88	0.926	0.828	-0.065	-0.099
C4_01350W_A	0.945	0.791	0.903	0.779	-0.154	-0.124
C4_01360W_A	1	0.877	0.944	0.834	-0.123	-0.11
C4_01370W_A	0.913	0.775	0.889	0.765	-0.139	-0.124
C4_01380W_A	0.932	1	0.886	0.819	0.068	-0.067
C4_01390W_A	0.968	0.991	0.951	0.826	0.022	-0.125
C4_01400W_A	0.734	0.742	0.777	NA	0.008	NA
C4_01410W_A	0.889	0.802	0.851	0.808	-0.087	-0.043
C4_01420W_A	0.862	0.88	0.875	0.828	0.018	-0.047
C4_01430C_A	0.95	0.977	0.954	0.98	0.027	0.027
C4_01440W_A	0.855	0.765	0.875	0.823	-0.09	-0.052
C4_01450W_A	0.991	0.942	0.934	0.814	-0.049	-0.12
C4_01460C_A	0.866	0.791	0.835	0.782	-0.075	-0.053
C4_01470W_A	0.895	0.936	0.838	0.936	0.041	0.099
C4_01480C_A	0.773	0.91	0.826	0.725	0.137	-0.1
C4_01490W_A	0.932	0.783	0.846	0.774	-0.149	-0.072
C4_01500W_A	0.936	0.932	0.891	0.845	-0.004	-0.046
C4_01510W_A	0.913	0.885	0.862	0.774	-0.028	-0.088
C4_01520C_A	0.95	0.894	0.892	0.818	-0.056	-0.074
C4_01530C_A	1	0.932	0.978	0.882	-0.068	-0.096
C4_01550C_A	0.841	0.95	0.826	0.927	0.109	0.101
C4_01560C_A	0.932	0.945	0.912	0.884	0.012	-0.028
C4_01650C_A	0.848	0.774	0.851	0.794	-0.074	-0.058
C4_01660W_A	0.913	0.746	0.771	NA	-0.168	NA
C4_01670C_A	0.932	0.918	0.923	0.891	-0.014	-0.032
C4_01680W_A	0.936	0.886	0.902	0.801	-0.05	-0.1
C4_01690C_A	0.871	0.948	0.837	0.924	0.077	0.087
C4_01700C_A	0.952	0.815	0.884	0.762	-0.137	-0.123
C4_01710C_A	0.733	0.926	0.718	0.869	0.193	0.151
C4_01720C_A	0.967	0.991	0.901	0.9	0.024	-0.001
C4_01730C_A	0.998	0.764	0.974	NA	-0.234	NA
C4_01740W_A	0.873	0.792	0.904	0.784	-0.081	-0.12
C4_01750C_A	0.998	0.853	0.975	0.832	-0.145	-0.143
C4_01760W_A	0.793	0.87	0.827	0.862	0.077	0.035
C4_01770W_A	0.959	1	0.948	0.886	0.041	-0.061
C4_01780C_A	0.943	0.833	0.913	0.855	-0.11	-0.058
C4_01790W_A	0.885	0.877	0.853	0.86	-0.008	0.008
C4_01800W_A	0.853	0.998	0.88	0.868	0.145	-0.012
C4_01820C_A	0.887	0.764	0.842	NA	-0.123	NA
C4_01830C_A	0.943	0.886	0.918	0.877	-0.057	-0.042
C4_01840C_A	0.998	0.811	0.976	0.778	-0.187	-0.199
C4_01850C_A	0.945	0.75	0.92	0.74	-0.195	-0.179
C4_01860C_A	0.832	0.866	0.85	0.845	0.033	-0.005
C4_01870C_A	0.824	0.811	0.846	0.703	-0.012	-0.144
C4_01880W_A	0.851	0.917	0.851	0.91	0.065	0.059
C4_01890C_A	0.952	0.805	0.942	0.721	-0.147	-0.222
C4_01900C_A	1	0.743	0.965	0.675	-0.257	-0.291
C4_01910W_A	0.94	0.773	0.876	0.801	-0.167	-0.075
C4_01920W_A	0.917	0.925	0.894	0.938	0.008	0.044
C4_01930C_A	0.945	0.791	0.895	0.825	-0.154	-0.07
C4_01940W_A	0.952	0.832	0.948	0.779	-0.12	-0.17
C4_01950W_A	0.877	0.857	0.874	0.832	-0.021	-0.042
C4_01960C_A	0.873	0.909	0.834	0.805	0.036	-0.03
C4_01970W_A	0.945	0.975	0.832	0.951	0.03	0.119
C4_01980C_A	0.975	0.766	0.953	0.674	-0.209	-0.279
C4_01990W_A	0.968	0.861	0.936	0.844	-0.106	-0.092
