# scores_kozak_Sp.txt
# Scores of ATG context against Kozak sequence, S. pombe 972h-
# Kozak sequence derived from 256 highest-translated genes by RPF
#
# Gene: Sp systematic gene name
# aATG.scorekn: score of annotated ATG against narrow Kozak sequence (NNNNATG)
# d1.scorekn: score of 1st downstream ATG against narrow
# xx.scorekw: analogous scores against wide Kozak sequence (NNNNNNNNNNATG)
#
# Edward Wallace, June 2018
Gene	aATG.scorekn	d1.scorekn	d1vsan
SPAC1527.02	0.99	0.838	-0.152
SPAC1527.03	0.99	0.822	-0.168
SPAC30.01c	1	0.877	-0.123
SPAC30.02c	0.932	0.829	-0.103
SPAC30.03c	0.746	0.748	0.003
SPAC30.04c	0.735	0.89	0.155
SPAC29E6.01	0.835	0.898	0.063
SPAC29E6.02	0.771	0.843	0.072
SPAC29E6.03c	0.774	0.916	0.142
SPAC29E6.05c	0.99	0.9	-0.09
SPAC29E6.04	0.771	0.749	-0.022
SPAC29E6.06c	0.77	0.787	0.017
SPAC29E6.07	0.845	0.877	0.032
SPAC29E6.08	0.844	0.763	-0.082
SPAC29E6.09	0.879	0.695	-0.184
SPAC29E6.10c	0.958	0.779	-0.179
SPAC16.01	0.773	0.787	0.014
SPAC16.02c	0.99	0.81	-0.18
SPAC16.03c	0.96	0.827	-0.133
SPAC16.04	0.814	0.96	0.147
SPAC16.05c	0.949	0.966	0.017
SPAC9E9.02	0.891	0.74	-0.152
SPAC9E9.01	0.916	0.689	-0.228
SPAC23E2.01	0.99	0.763	-0.227
SPAC9E9.17c	0.739	0.951	0.212
SPAC9E9.03	0.899	0.81	-0.089
SPAC9E9.04	1	0.841	-0.159
SPAC9E9.05	0.918	0.755	-0.163
SPAC9E9.06c	0.928	0.753	-0.176
SPAC9E9.07c	0.806	0.9	0.093
SPAC9E9.08	1	0.892	-0.108
SPAC9E9.09c	1	0.968	-0.032
SPAC9E9.10c	0.828	0.917	0.089
SPAC9E9.11	0.951	0.719	-0.231
SPAC9E9.12c	0.78	0.932	0.152
SPAC9E9.13	0.907	0.713	-0.194
SPAC9E9.14	1	0.932	-0.068
SPAC9E9.15	0.918	0.763	-0.155
SPAC17C9.16c	0.699	0.706	0.007
SPAC17C9.15c	0.91	0.949	0.04
SPAC17C9.14	0.845	0.774	-0.071
SPAC17C9.13c	0.772	0.916	0.144
SPAC17C9.12	0.9	0.739	-0.161
SPAC17C9.11c	0.99	0.878	-0.112
SPAC17C9.10	0.763	0.827	0.064
SPAC17C9.09c	1	0.861	-0.139
SPAC17C9.08	0.877	0.755	-0.122
SPAC23E2.02	0.739	0.782	0.043
SPAC17C9.07	0.918	0.737	-0.181
SPAC17C9.06	0.939	0.958	0.019
SPAC17C9.05c	0.918	0.879	-0.04
SPAC17C9.03	0.891	0.809	-0.082
SPAC17C9.02c	0.811	0.875	0.064
SPAC17C9.01c	0.788	0.878	0.09
SPAC1851.02	0.928	0.928	0
SPAC1851.03	0.875	0.755	-0.12
SPAC1851.04c	0.772	0.782	0.01
SPAC977.12	0.821	0.865	0.044
SPAC23E2.03c	0.91	0.869	-0.04
SPAC27D7.02c	1	0.901	-0.099
SPAC27D7.03c	0.862	0.823	-0.04
SPAC27D7.04	0.99	0.753	-0.237
SPAC27D7.05c	0.778	0.806	0.028
SPAC27D7.06	0.918	0.738	-0.18
SPAC27D7.07c	0.934	0.763	-0.171
SPAC27D7.08c	0.838	0.99	0.152
SPAC27D7.09c	0.819	0.83	0.011
SPAC27D7.11c	0.934	0.855	-0.079
SPAC27D7.12c	0.932	0.83	-0.102
SPAC27D7.13c	0.829	0.738	-0.091
SPAC27D7.14c	0.893	0.803	-0.09
SPAC637.03	0.949	0.739	-0.21
SPAC637.04	0.772	0.784	0.012
SPAC637.05c	0.918	0.828	-0.09
SPAC637.06	0.99	0.795	-0.195
SPAC637.07	0.879	0.885	0.006
SPAC637.08	0.737	0.783	0.046
SPAC637.09	0.99	0.951	-0.04
SPAC24H6.13	0.866	0.713	-0.153
SPAC637.10c	0.96	0.916	-0.044
SPAC637.11	0.835	0.772	-0.063
SPAC637.12c	0.96	0.746	-0.215
SPAC637.13c	0.96	0.821	-0.139
SPAC31F12.01	0.931	0.789	-0.142
SPAC12B10.01c	0.732	0.99	0.258
SPAC12B10.02c	0.99	0.746	-0.244
SPAC12B10.03	0.84	0.916	0.076
SPAC12B10.04	0.773	0.695	-0.078
SPAC12B10.05	0.843	0.795	-0.048
SPAC12B10.07	0.951	0.714	-0.236
SPAC12B10.06c	0.956	0.96	0.005
SPAC12B10.08c	0.828	0.885	0.057
SPAC12B10.09	0.789	0.905	0.115
SPAC12B10.10	0.822	0.876	0.054
SPAC12B10.11	0.939	0.706	-0.233
SPAC24H6.12c	0.821	0.735	-0.086
SPAC12B10.12c	0.793	0.852	0.058
SPAC12B10.13	0.951	0.788	-0.162
SPAC12B10.14c	0.688	0.756	0.068
SPAC12B10.15c	0.966	0.732	-0.234
SPAC12B10.16c	0.874	0.803	-0.07
SPAC1093.07	0.811	NA	NA
SPAC1093.01	0.949	0.99	0.041
SPAC1093.02	0.926	0.949	0.023
SPAC24H6.11c	0.796	0.81	0.014
SPAC1093.03	0.707	0.82	0.113
SPAC1093.04c	0.795	0.838	0.043
SPAC1093.05	0.917	0.99	0.073
SPAC1093.06c	0.934	0.966	0.032
SPAC30C2.02	0.958	0.764	-0.194
SPAC30C2.03	0.907	0.918	0.012
SPAC30C2.04	0.917	0.737	-0.18
SPAC30C2.05	0.951	0.834	-0.116
SPAC30C2.06c	0.748	0.747	-0.001
SPAC30C2.07	0.783	0.744	-0.039
SPAC30C2.08	0.814	0.892	0.078
SPAC1635.01	0.956	0.702	-0.254
SPAC144.01	0.89	0.879	-0.011
SPAC144.02	0.859	0.721	-0.138
SPAC24H6.10c	0.879	0.776	-0.103
SPAC144.03	0.939	0.805	-0.134
SPAC144.04c	0.926	0.84	-0.086
SPAC144.05	0.89	0.872	-0.018
SPAC144.06	0.788	0.739	-0.049
SPAC144.07c	0.885	0.845	-0.04
SPAC144.08	0.862	0.91	0.047
SPAC144.09c	0.872	0.788	-0.084
SPAC24H6.09	0.949	0.81	-0.139
SPAC144.10c	0.99	0.887	-0.103
SPAC144.11	1	0.867	-0.133
SPAC144.12	0.95	0.778	-0.172
SPAC144.13c	0.88	0.74	-0.141
SPAC144.14	0.828	0.753	-0.075
SPAC144.15c	0.95	0.719	-0.231
SPAC144.17c	0.805	0.958	0.154
SPAC977.14c	0.95	0.771	-0.179
SPAC24H6.08	0.968	0.695	-0.273
SPAC144.16	0.99	0.956	-0.034
SPAC144.18	0.956	0.778	-0.178
SPAC1834.01	1	0.788	-0.212
SPAC1834.02	0.96	0.811	-0.149
SPAC1834.03c	0.918	0.695	-0.223
SPAC1834.04	0.891	0.81	-0.081
SPAC1834.05	0.874	0.789	-0.085
SPAC1834.06c	0.764	0.96	0.196
SPAC24H6.07	0.932	0.774	-0.158
SPAC1834.07	0.838	0.931	0.093
SPAC1834.08	0.99	0.795	-0.195
SPAC1834.09	0.827	0.907	0.08
SPAC1834.10c	0.95	0.881	-0.068
SPAC1834.11c	0.956	0.96	0.005
SPAC1834.13	0.828	0.759	-0.069
SPAC17D4.01	0.746	0.89	0.145
SPAC24H6.06	0.763	0.866	0.104
SPAC17D4.02	0.804	0.682	-0.122
SPAC17D4.03c	0.99	0.779	-0.211
SPAC17D4.04	0.91	0.99	0.08
SPAC458.02c	0.99	0.82	-0.17
SPAC458.03	0.81	0.859	0.05
SPAC458.04c	0.761	0.74	-0.021
SPAC458.05	0.795	0.924	0.129
SPAC458.06	0.795	0.96	0.165
SPAC24H6.05	0.95	0.845	-0.105
SPAC458.07	0.865	0.795	-0.07
SPAPYUG7.02c	0.917	0.728	-0.189
SPAPYUG7.03c	0.941	0.706	-0.235
SPAPYUG7.04c	0.95	0.867	-0.083
SPAPYUG7.05	0.99	0.916	-0.074
SPAPYUG7.06	0.881	0.804	-0.078
SPAC1782.01	0.931	0.932	0.001
SPAC1782.02c	0.926	0.688	-0.238
SPAC24H6.04	1	0.699	-0.301
SPAC1782.03	0.96	0.823	-0.138
SPAC1782.04	0.803	0.763	-0.04
SPAC1782.05	0.968	0.898	-0.07
SPAC1782.06c	0.879	0.819	-0.06
SPAC1782.07	1	0.827	-0.173
SPAC1782.08c	0.788	0.811	0.023
SPAC1782.09c	0.731	0.96	0.23
SPAC1782.10c	0.859	0.893	0.033
SPAC1782.12c	0.931	0.761	-0.171
SPAC1782.11	0.876	0.744	-0.132
SPAC11H11.02c	0.9	0.74	-0.16
SPAC11H11.01	0.884	0.842	-0.042
SPAC11H11.03c	0.918	0.798	-0.12
SPAC11H11.04	0.89	0.924	0.034
SPAC11H11.05c	0.862	0.753	-0.11
SPAC11H11.06	0.95	0.874	-0.076
SPAC22F8.02c	0.827	0.802	-0.025
SPAC22F8.03c	0.753	0.769	0.017
SPAC22F8.04	0.95	0.771	-0.179
SPAC22F8.05	0.9	0.774	-0.126
SPAC22F8.06	0.9	0.769	-0.13
SPAC22F8.07c	0.84	0.898	0.058
SPAC22F8.08	0.884	0.809	-0.076
SPAC22F8.09	0.951	0.835	-0.115
SPAC22F8.10c	0.747	0.746	-0.001
SPAC24H6.03	0.804	0.918	0.115
SPAC22F8.11	0.941	0.878	-0.063
SPAC22F8.12c	0.763	0.918	0.155
SPAC20G4.01	1	0.777	-0.223
SPAC20G4.02c	0.746	0.892	0.146
SPAC20G4.03c	0.907	0.872	-0.034
SPAC20G4.04c	0.932	0.731	-0.202
SPAC20G4.05c	0.876	0.827	-0.05
SPAC24H6.02c	0.941	0.796	-0.145
SPAC20G4.06c	0.899	0.796	-0.103
SPAC20G4.09	0.707	0.811	0.104
SPAC20G4.07c	0.855	0.88	0.026
SPAC20G4.08	0.891	0.779	-0.112
SPAC4F10.02	0.99	0.746	-0.244
SPAC4F10.03c	0.869	0.879	0.01
SPAC4F10.04	0.916	0.765	-0.151
SPAC4F10.05c	0.739	0.833	0.094
SPAC4F10.06	0.822	0.731	-0.091
SPAC4F10.07c	0.827	0.746	-0.082
SPAC4F10.08	0.918	0.918	0
SPAC4F10.09c	0.889	0.763	-0.125
SPAC4F10.10c	0.91	0.829	-0.081
SPAC4F10.11	0.847	0.771	-0.076
SPAC4F10.12	0.847	0.891	0.044
SPAC4F10.13c	0.88	0.899	0.019
SPAC4F10.14c	0.869	0.812	-0.057
SPAC977.15	0.99	0.889	-0.101
SPAC24H6.01c	0.827	0.724	-0.103
SPAC4F10.15c	0.829	0.821	-0.008
SPAC4F10.16c	0.724	0.724	0
SPAC4F10.17	0.918	0.823	-0.095
SPAC4F10.18	0.838	0.814	-0.024
SPAC4F10.19c	0.859	0.949	0.09
SPAC4F10.20	0.924	0.916	-0.008
SPAC19B12.01	0.956	0.881	-0.074
SPAC4F10.22	0.956	0.805	-0.151
SPAC19B12.02c	0.99	0.706	-0.284
SPAC19B12.03	0.99	0.845	-0.145
SPAC19B12.04	0.95	0.968	0.018
SPAC19B12.05c	0.772	0.893	0.121
SPAC19B12.06c	0.835	0.769	-0.065
SPAC19B12.07c	0.867	0.859	-0.008
SPAPB21F2.02	0.84	0.746	-0.095
SPAC19B12.08	0.778	0.702	-0.076
SPAC19B12.09	0.82	0.884	0.064
SPAC19B12.10	0.856	0.719	-0.136
SPAC19B12.11c	0.898	0.884	-0.014
SPAC19B12.12c	1	0.783	-0.217
SPAC19B12.13	0.818	0.918	0.1
SPAPB8E5.02c	0.928	0.789	-0.14
SPAPB8E5.03	0.897	0.859	-0.037
SPAPB8E5.04c	0.934	0.787	-0.147
SPAPB21F2.03	0.835	0.879	0.044
SPAPB8E5.05	0.956	0.838	-0.118
SPAPB8E5.06c	0.934	0.859	-0.075
SPAPB8E5.07c	0.772	0.721	-0.05
SPAPB8E5.08	0.773	0.839	0.066
SPAPB8E5.09	0.95	0.861	-0.089
SPAC1B3.01c	0.951	0.817	-0.133
SPAPB8E5.10	0.869	0.88	0.011
SPAC1B3.02c	0.811	0.828	0.017
SPAC1B3.03c	0.928	0.764	-0.164
SPAC227.01c	0.899	0.753	-0.146
SPAC1B3.04c	0.714	0.91	0.196
SPAC1B3.05	1	0.771	-0.229
SPAC1B3.06c	0.868	0.865	-0.003
SPAC1B3.07c	0.793	0.956	0.163
SPAC1B3.21	0.84	0.932	0.092
SPAC1B3.08	0.905	0.859	-0.046
SPAC1B3.09c	0.861	0.869	0.008
SPAC227.19c	0.95	NA	NA
SPAC1B3.10c	0.88	0.721	-0.159
SPAC1B3.11c	0.84	0.778	-0.062
SPAC1B3.20	0.99	0.835	-0.155
SPAC1B3.12c	0.99	0.695	-0.295
SPAC1B3.13	0.88	0.737	-0.143
SPAC1B3.14	0.95	0.788	-0.162
SPAC1B3.15c	0.958	0.829	-0.129
SPAC1B3.16c	0.931	0.917	-0.015
SPAC1B3.17	0.753	0.755	0.003
SPAC1B3.18c	0.88	0.77	-0.11
SPAC1952.01	0.844	0.879	0.035
SPAC1952.02	0.764	0.779	0.015
SPAC1952.03	0.746	0.839	0.093
SPAC1952.04c	0.839	0.789	-0.05
SPAC1952.05	0.9	0.822	-0.077
SPAC1952.06c	0.872	0.74	-0.133
SPAC1952.08c	0.939	0.739	-0.201
SPAC1952.07	0.714	0.866	0.152
SPAC227.02c	0.804	0.893	0.089
SPAC1952.09c	0.916	0.894	-0.021
SPAC1952.10c	0.9	0.966	0.066
SPAC1952.11c	0.905	0.881	-0.024
SPAC1952.12c	0.788	0.796	0.008
SPAC1952.13	0.926	0.949	0.023
SPAC1952.14c	0.859	0.879	0.02
SPAC1952.15c	0.82	0.779	-0.041
SPAC227.03c	0.763	0.706	-0.056
SPAC1952.16	0.868	0.822	-0.045
SPAC1952.17c	0.84	0.695	-0.145
SPAC890.02c	0.932	0.869	-0.063
SPAC890.03	0.816	0.99	0.174
SPAC890.04c	0.917	0.74	-0.177
SPAC890.05	0.91	0.872	-0.037
SPAC890.06	0.932	0.828	-0.104
SPAC890.07c	0.932	0.772	-0.161
SPAC890.08	0.916	0.797	-0.118
SPAC22E12.01	0.862	0.917	0.054
SPAC22E12.02	0.859	0.856	-0.004
SPAC22E12.03c	0.932	0.771	-0.161
SPAC22E12.04	0.968	0.861	-0.107
SPAC22E12.05c	0.875	0.932	0.057
SPAC22E12.06c	0.95	0.96	0.011
SPAC22E12.07	0.806	0.783	-0.024
SPAC977.16c	0.99	0.901	-0.089
SPAC227.04	0.931	0.724	-0.207
SPAC22E12.08	0.804	0.721	-0.082
SPAC22E12.09c	0.934	0.793	-0.141
SPAC22E12.10c	0.835	0.731	-0.104
SPAC22E12.11c	0.835	0.876	0.041
SPAC22E12.13c	0.881	0.829	-0.052
SPAC22E12.14c	0.95	0.892	-0.058
SPAC22E12.16c	0.958	0.861	-0.097
SPAC22E12.17c	0.99	0.968	-0.022
SPAC22E12.18	0.814	0.915	0.101
SPAC227.05	0.939	0.822	-0.117
SPAC22E12.19	0.916	0.84	-0.077
SPAC2E12.02	0.763	0.884	0.121
SPAC2E12.03c	0.966	0.82	-0.145
SPAC1006.01	0.859	0.749	-0.11
SPAC1006.02	0.732	0.753	0.021
SPAC1006.03c	0.862	0.799	-0.064
SPAC1006.04c	0.814	0.772	-0.042
SPAC1006.05c	0.885	0.9	0.015
SPAC227.06	0.915	0.78	-0.135
SPAC1006.06	0.932	0.894	-0.038
SPAC1006.07	0.95	0.876	-0.074
SPAC1006.08	0.771	0.949	0.179
SPAC1006.09	0.958	0.932	-0.026
SPAC1250.05	0.95	0.847	-0.103
SPAC1250.04c	0.95	0.677	-0.273
SPAC1250.03	0.879	0.823	-0.056
SPAC1250.07	0.823	0.706	-0.116
SPAC1250.02	0.755	0.879	0.124
SPAC227.07c	0.893	0.74	-0.153
SPAC1250.01	0.939	0.918	-0.021
SPAC29A4.20	0.901	0.739	-0.162
SPAC29A4.19c	0.749	0.89	0.141
SPAC29A4.18	0.941	0.99	0.049
SPAC29A4.17c	0.941	0.833	-0.108
SPAC29A4.16	0.99	0.879	-0.111
SPAC29A4.15	0.934	0.738	-0.196
SPAC29A4.14c	0.918	0.932	0.014
SPAC29A4.13	0.9	0.695	-0.205
SPAC29A4.11	0.91	0.866	-0.045
SPAC29A4.22	0.956	0.788	-0.168
SPAC29A4.12c	0.894	0.803	-0.091
SPAC29A4.10	0.918	0.822	-0.096
SPAC29A4.09	0.91	0.875	-0.035
SPAC29A4.08c	0.796	0.861	0.065
SPAC29A4.07	0.816	0.898	0.083
SPAC227.08c	1	0.861	-0.139
SPAC29A4.06c	0.95	0.877	-0.072
SPAC29A4.05	0.949	0.795	-0.154
SPAC29A4.04c	0.99	0.713	-0.278
SPAC29A4.03c	0.844	0.91	0.066
SPAC29A4.02c	0.833	0.901	0.067
SPAC26F1.14c	0.866	0.917	0.05
SPAC26F1.13c	0.968	0.99	0.022
SPAC227.09	0.827	0.677	-0.15
SPAC26F1.12c	0.862	0.79	-0.072
SPAC26F1.11	0.82	0.932	0.113
SPAC26F1.10c	0.926	0.714	-0.212
SPAC26F1.09	0.88	0.753	-0.128
SPAC26F1.08c	0.751	0.934	0.183
SPAC26F1.07	0.9	0.713	-0.186
SPAC227.10	0.917	0.795	-0.121
SPAC26F1.06	0.916	0.796	-0.121
SPAC26F1.05	0.721	0.99	0.269
SPAC26F1.04c	0.899	0.778	-0.121
SPAC26F1.03	0.795	0.789	-0.006
SPAC26F1.02	0.891	0.845	-0.046
SPAC26F1.01	0.901	0.707	-0.193
SPAPJ691.02	0.894	0.731	-0.163
SPAC227.11c	0.761	0.856	0.095
SPAPJ691.03	0.916	0.968	0.053
SPAC13D1.01c	0.916	0.771	-0.145
SPAC19D5.09c	0.916	0.771	-0.145
SPAC19D5.01	0.865	0.939	0.074
SPAC19D5.02c	0.99	0.721	-0.269
SPAC19D5.03	0.881	0.793	-0.088
SPAC19D5.04	0.99	1	0.01
SPAC19D5.05c	1	0.934	-0.066
SPAC227.12	0.918	0.779	-0.139
SPAC19D5.11c	0.823	0.804	-0.019
SPAC19D5.06c	0.782	0.876	0.094
SPAC19D5.10c	0.872	0.772	-0.1
SPAC14C4.01c	0.804	0.721	-0.083
SPAC19D5.07	0.968	0.845	-0.123
SPAC14C4.02c	0.934	0.74	-0.195
SPAC14C4.16	0.916	0.881	-0.034
SPAC977.17	0.872	0.874	0.001
SPAC227.13c	0.95	0.788	-0.162
SPAC14C4.03	0.905	0.797	-0.108
SPAC14C4.04	0.91	0.72	-0.19
SPAC14C4.05c	0.739	0.823	0.084
SPAC14C4.06c	0.968	0.782	-0.186
SPAC14C4.07	0.869	0.926	0.057
SPAC14C4.08	0.821	0.867	0.045
SPAC14C4.10c	0.811	0.879	0.068
SPAC14C4.11	0.884	0.753	-0.132
SPAC14C4.12c	0.91	0.918	0.008
SPAC14C4.13	0.763	0.732	-0.032
SPAC14C4.14	0.932	0.776	-0.157
SPAC14C4.15c	0.779	0.779	0
SPAPJ760.02c	1	0.754	-0.246
SPAPJ760.03c	0.95	0.916	-0.034
SPAC2H10.04	0.813	0.773	-0.04
SPAC227.14	0.95	0.765	-0.185
SPAC2H10.01	0.918	0.823	-0.095
SPAC2H10.02c	0.869	0.739	-0.13
SPAC11E3.01c	0.737	0.99	0.253
SPAC11E3.02c	0.755	0.951	0.195
SPAC11E3.03	0.856	0.899	0.043
SPAC11E3.04c	0.956	0.865	-0.091
SPAC11E3.05	0.951	0.823	-0.128
SPAC11E3.06	0.872	0.892	0.019
SPAC227.15	0.707	0.781	0.074
SPAC11E3.07	1	0.706	-0.294
SPAC11E3.08c	0.737	0.779	0.042
SPAC11E3.09	0.949	0.932	-0.017
SPAC11E3.10	0.99	0.892	-0.098
SPAC11E3.11c	0.812	0.795	-0.018
SPAC11E3.12	0.916	0.885	-0.031
SPAC11E3.13c	0.793	0.81	0.017
SPAC11E3.14	0.907	0.842	-0.065
SPAC11E3.15	0.91	0.748	-0.161
SPAP8A3.02c	0.932	0.688	-0.244
SPAP8A3.03	0.95	0.753	-0.197
SPAP8A3.04c	1	0.932	-0.068
SPAP8A3.05	0.939	0.869	-0.07
SPAP8A3.06	0.99	0.753	-0.237
SPAP8A3.07c	0.853	0.774	-0.079
SPAC227.16c	0.99	0.865	-0.125
SPAP8A3.08	0.958	0.863	-0.096
SPAP8A3.09c	0.95	0.764	-0.186
SPAP8A3.10	0.827	0.949	0.122
SPAP8A3.11c	0.847	0.924	0.078
SPAP8A3.12c	0.822	0.822	0
SPAP8A3.13c	0.764	1	0.236
SPAC227.17c	0.931	0.932	0.001
SPAP8A3.14c	0.869	0.782	-0.087
SPAC4D7.01c	1	0.781	-0.219
SPAC4D7.02c	1	0.706	-0.294
SPAC4D7.15	0.878	0.907	0.028
SPAC4D7.03	0.754	0.772	0.018
SPAC4D7.04c	0.949	0.916	-0.033
SPAC4D7.05	0.951	0.77	-0.18
SPAC4D7.06c	0.931	0.707	-0.224
SPAC227.18	1	0.738	-0.262
SPAC4D7.07c	0.78	0.834	0.054
SPAC4D7.08c	0.99	0.746	-0.244
SPAC4D7.09	0.966	0.688	-0.278
SPAC4D7.10c	0.879	0.931	0.052
SPAC4D7.11	0.803	0.868	0.064
SPAC4D7.14	0.88	0.949	0.069
SPAC4D7.12c	0.99	0.804	-0.186
SPAC2F7.02c	0.918	0.753	-0.166
SPAC4D7.13	0.893	0.806	-0.086
SPAC3G6.01	0.827	0.861	0.033
SPAC3G6.02	0.867	0.81	-0.057
SPAC3G6.03c	1	0.99	-0.01
SPAC3G6.04	0.753	0.99	0.237
SPAC3G6.05	0.89	0.823	-0.068
SPAC3G6.06c	0.916	0.817	-0.099
SPAC3G6.07	0.956	0.893	-0.063
SPAC2F7.03c	0.811	0.746	-0.065
SPAC3G6.08	0.95	0.958	0.008
SPAC3G6.09c	0.918	0.746	-0.173
SPAC3G6.10c	0.949	0.829	-0.12
SPAC3G6.11	0.95	0.714	-0.236
SPAC3G6.13c	0.966	0.951	-0.015
SPAC29B12.01	0.877	0.748	-0.129
SPAC29B12.02c	0.916	0.739	-0.177
SPAC212.12	0.958	0.713	-0.246
SPAC2F7.04	0.748	0.795	0.047
SPAC29B12.03	0.99	0.809	-0.181
SPAC29B12.04	0.9	0.829	-0.071
SPAC29B12.05c	0.778	0.859	0.081
SPAC29B12.06c	0.99	0.88	-0.11
SPAC29B12.07	0.835	0.813	-0.022
SPAC2F7.05c	0.956	0.83	-0.126
SPAC29B12.08	0.788	0.835	0.047
SPAC29B12.10c	0.916	0.932	0.017
SPAC29B12.11c	0.99	0.932	-0.058
SPAC29B12.12	0.88	0.754	-0.127
SPAC29B12.13	0.9	0.881	-0.018
SPAC29B12.14c	0.91	0.835	-0.075
SPAC2F7.06c	1	0.88	-0.12
SPAC1039.01	0.99	0.84	-0.15
SPAC1039.02	1	0.876	-0.124
SPAC1039.03	0.949	0.939	-0.01
SPAC1039.04	0.968	0.771	-0.198
SPAC1039.05c	0.782	0.869	0.087
SPAC1039.06	0.95	0.789	-0.161
SPAC1039.07c	0.958	0.739	-0.22
SPAC1039.08	0.91	0.884	-0.026
SPAC1039.09	0.95	0.893	-0.057
SPAC1039.10	0.859	0.788	-0.072
SPAC1039.11c	0.905	0.746	-0.159
SPAC922.03	0.916	0.787	-0.129
SPAC922.04	0.9	0.713	-0.186
SPAC922.09	0.811	0.763	-0.048
SPAC922.05c	0.915	0.816	-0.099
SPAC2F7.07c	0.828	0.74	-0.089
SPAC922.06	0.941	0.95	0.009
SPAC922.07c	0.845	0.804	-0.041
SPAC869.11	1	0.899	-0.101
SPAC869.10c	0.96	0.74	-0.221
SPAC869.09	0.931	0.813	-0.118
SPAC869.08	0.86	0.77	-0.089
SPAC2F7.08c	0.777	0.843	0.066
SPAC869.07c	0.956	0.789	-0.166
SPAC869.06c	0.879	0.96	0.081
SPAC869.05c	0.956	0.893	-0.063
SPAC869.04	0.823	0.757	-0.065
SPAC869.03c	1	0.81	-0.19
SPAC869.02c	0.95	0.713	-0.237
SPAC869.01	0.877	0.755	-0.122
SPAC186.01	0.956	0.779	-0.177
SPAC186.02c	0.956	0.924	-0.032
SPAC186.03	1	0.89	-0.11
SPAC186.04c	0.771	0.916	0.145
SPAC186.05c	0.9	0.804	-0.096
SPAC186.06	0.893	0.753	-0.14
SPAC2F7.09c	0.884	0.738	-0.146
SPAC186.07c	0.951	0.828	-0.122
SPAC186.08c	0.949	0.861	-0.088
SPAC186.09	0.865	0.811	-0.053
SPAC750.01	0.747	0.893	0.146
SPAC750.02c	0.771	0.99	0.219
SPAC750.03c	0.842	0.79	-0.051
SPAC750.04c	0.82	0.88	0.061
SPAC750.05c	0.821	0.879	0.058
SPAC2F7.10	0.763	0.823	0.06
SPAC750.06c	0.795	0.916	0.121
SPAC750.07c	0.958	0.713	-0.246
SPBC1348.15	0.865	0.748	-0.116
SPBC1348.01	0.795	0.916	0.121
SPBC1348.02	0.821	0.879	0.058
SPBC1348.03	0.82	0.88	0.061
SPBC1348.04	0.842	0.79	-0.051
SPBC1348.05	0.771	0.99	0.219
SPBC1348.06c	0.876	0.786	-0.09
SPAC2F7.11	0.89	0.764	-0.126
SPBC1348.07	0.753	0.87	0.117
SPBC1348.08c	0.89	0.732	-0.159
SPBC1348.09	0.865	0.907	0.042
SPBC1348.10c	0.844	0.728	-0.116
SPBC1348.12	0.841	0.732	-0.109
SPBC1348.13	0.827	0.99	0.163
SPBC1348.14c	0.918	0.794	-0.124
SPBPB8B6.02c	0.939	0.81	-0.129
SPBPB8B6.03	0.84	0.907	0.067
SPBPB8B6.04c	0.966	0.739	-0.227
SPBPB8B6.05c	0.821	0.865	0.044
SPBPB8B6.06c	0.862	0.891	0.029
SPBPB21E7.01c	0.99	0.753	-0.237
SPBPB21E7.02c	0.818	0.887	0.069
SPBPB21E7.10	0.868	0.759	-0.108
SPAC2F7.13c	0.99	0.755	-0.235
SPBPB21E7.11	0.753	0.769	0.016
SPBPB21E7.04c	0.939	0.819	-0.12
SPBPB21E7.05	0.724	0.67	-0.053
SPBPB21E7.07	0.958	0.724	-0.234
SPBPB21E7.09	1	0.89	-0.11
SPAC2F7.14c	0.99	0.737	-0.253
SPBPB10D8.01	0.95	0.823	-0.127
SPBPB10D8.02c	0.905	0.699	-0.206
SPBPB10D8.04c	0.88	0.699	-0.181
SPBPB10D8.05c	0.88	0.699	-0.181
SPBPB10D8.06c	0.88	0.699	-0.181
SPBPB10D8.07c	0.88	0.699	-0.181
SPAC2F7.15	0.95	0.772	-0.178
SPBC359.01	1	0.821	-0.179
SPBC359.02	0.916	0.719	-0.197
SPBC359.03c	0.96	0.823	-0.138
SPBC359.04c	0.898	0.822	-0.076
SPBC359.05	0.82	0.949	0.129
SPAC2F7.16c	1	0.874	-0.126
SPBC359.06	1	0.932	-0.068
SPBC1683.01	0.917	0.853	-0.064
SPBC1683.02	0.931	0.732	-0.2
SPBC1683.03c	0.99	0.892	-0.098
SPAC2F7.17	0.763	0.713	-0.05
SPBC1683.04	0.893	0.834	-0.059
SPBC1683.05	0.932	0.845	-0.088
SPBC1683.07	0.89	0.763	-0.128
SPBC1683.06c	0.82	0.96	0.141
SPBC1683.08	0.84	0.737	-0.103
SPAC13A11.01c	0.878	0.829	-0.049
SPBC1683.09c	0.867	0.869	0.002
SPBC1683.10c	0.77	0.699	-0.071
SPBC1683.11c	0.99	0.887	-0.103
SPBC1683.12	0.891	0.847	-0.044
SPBC1683.13c	1	0.811	-0.189
SPBC1198.01	0.928	0.84	-0.088
SPBC1198.02	0.916	1	0.084
SPAC13A11.02c	0.877	0.744	-0.133
SPBC1198.03c	0.898	0.951	0.052
SPBC1198.04c	0.951	0.829	-0.122
SPBC1198.05	0.884	0.951	0.067
SPBC1198.06c	0.99	0.833	-0.157
SPBC1198.07c	0.99	0.724	-0.266
